-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Evening
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -18584 msec
-------------------------------------
Time-interval 1: 24
Time-interval 2: 13
Time-interval 3: 17
Time-interval 4: 12
Time-interval 5: 19
Time-interval 6: 19
Time-interval 7: 16
Time-interval 8: 12
Time-interval 9: 19
Time-interval 10: 18
Time-interval 11: 22
Time-interval 12: 15
Time-interval 13: 18
Time-interval 14: 21
Time-interval 15: 16
Time-interval 16: 18
Time-interval 17: 15
Time-interval 18: 22
Time-interval 19: 15
Time-interval 20: 19
Time-interval 21: 19
Time-interval 22: 29
Time-interval 23: 19
Time-interval 24: 21
Time-interval 25: 19
Time-interval 26: 23
Time-interval 27: 24
Time-interval 28: 29
Time-interval 29: 14
Time-interval 30: 22
Time-interval 31: 16
Time-interval 32: 24
Time-interval 33: 19
Time-interval 34: 28
Time-interval 35: 20
Time-interval 36: 25
Time-interval 37: 22
Time-interval 38: 21
Time-interval 39: 29
Time-interval 40: 27
Time-interval 41: 29
Time-interval 42: 23
Time-interval 43: 20
Time-interval 44: 25
Time-interval 45: 28
Time-interval 46: 29
Time-interval 47: 24
Time-interval 48: 30
Time-interval 49: 30
Time-interval 50: 39
Time-interval 51: 27
Time-interval 52: 32
Time-interval 53: 21
Time-interval 54: 17
Time-interval 55: 22
Time-interval 56: 27
Time-interval 57: 26
Time-interval 58: 19
Time-interval 59: 30
Time-interval 60: 30
Time-interval 61: 21
Time-interval 62: 31
Time-interval 63: 29
Time-interval 64: 31
Time-interval 65: 28
Time-interval 66: 26
Time-interval 67: 31
Time-interval 68: 35
Time-interval 69: 22
Time-interval 70: 32
Time-interval 71: 35
Time-interval 72: 33
Time-interval 73: 29
Time-interval 74: 35
Time-interval 75: 37
Time-interval 76: 25
Time-interval 77: 33
Time-interval 78: 31
Time-interval 79: 30
Time-interval 80: 34
Time-interval 81: 32
Time-interval 82: 29
Time-interval 83: 34
Time-interval 84: 32
Time-interval 85: 37
Time-interval 86: 35
Time-interval 87: 32
Time-interval 88: 51
Time-interval 89: 36
Time-interval 90: 36
Time-interval 91: 40
Time-interval 92: 40
Time-interval 93: 42
Time-interval 94: 31
Time-interval 95: 52
Time-interval 96: 52
Time-interval 97: 46
Time-interval 98: 48
Time-interval 99: 61
Time-interval 100: 39
Time-interval 101: 46
Time-interval 102: 48
Time-interval 103: 48
Time-interval 104: 55
Time-interval 105: 46
Time-interval 106: 49
Time-interval 107: 49
Time-interval 108: 42
Time-interval 109: 45
Time-interval 110: 51
Time-interval 111: 60
Time-interval 112: 38
Time-interval 113: 47
Time-interval 114: 55
Time-interval 115: 53
Time-interval 116: 58
Time-interval 117: 61
Time-interval 118: 61
Time-interval 119: 54
Time-interval 120: 50
21784
