-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Evening
Iteration: 2
Execution time: 38 msec
-------------------------------------
Time 1: 3.2267998170374415E-10
Time 2: 3.374749039466213E-10
Time 3: 3.420112798086938E-10
Time 4: 3.3618867126738253E-10
Time 5: 3.4340882768846344E-10
Time 6: 3.3972173320119445E-10
Time 7: 3.4655466149520313E-10
Time 8: 3.4957753770825015E-10
Time 9: 3.533897373379424E-10
Time 10: 3.5091015583329994E-10
Time 11: 3.4515817676736424E-10
Time 12: 3.372697830756222E-10
Time 13: 3.4388182868961324E-10
Time 14: 3.350551936665525E-10
Time 15: 3.3568242970082174E-10
Time 16: 3.319324312928219E-10
Time 17: 3.3716660979682715E-10
Time 18: 3.347645771209519E-10
Time 19: 3.371046246329178E-10
Time 20: 3.3927002228034054E-10
Time 21: 3.405014138017169E-10
Time 22: 3.45018420118537E-10
Time 23: 3.444599708718836E-10
Time 24: 3.5366508990282016E-10
Time 25: 3.5873632506108735E-10
Time 26: 3.5372359319813317E-10
Time 27: 3.572926811505702E-10
Time 28: 3.6163554513315143E-10
Time 29: 3.6660798265287993E-10
Time 30: 3.639661972266634E-10
Time 31: 3.6460053091148355E-10
Time 32: 3.623334502638059E-10
Time 33: 3.6317651345518553E-10
Time 34: 3.6317380410813706E-10
Time 35: 3.5399887573455724E-10
Time 36: 3.5664315824372556E-10
Time 37: 3.4830690854285517E-10
Time 38: 3.54531539612609E-10
Time 39: 3.569594426067121E-10
Time 40: 3.527312614484669E-10
Time 41: 3.5537280814546493E-10
Time 42: 3.548855247670481E-10
Time 43: 3.568595139000087E-10
Time 44: 3.524516762759277E-10
Time 45: 3.5761206608054724E-10
Time 46: 3.60925878870019E-10
Time 47: 3.6128390792097057E-10
Time 48: 3.6679867767153546E-10
Time 49: 3.6599342041976493E-10
Time 50: 3.688350235628744E-10
Time 51: 3.6323853006231746E-10
Time 52: 3.681830377780499E-10
Time 53: 3.6710178017232904E-10
Time 54: 3.5530239149025764E-10
Time 55: 3.615079286992415E-10
Time 56: 3.549804404676802E-10
Time 57: 3.6644124389528214E-10
Time 58: 3.7528120688413443E-10
Time 59: 3.7649041155626104E-10
Time 60: 3.7649940356392696E-10
Time 61: 3.631011865677746E-10
Time 62: 3.629494651416338E-10
Time 63: 3.718279240894404E-10
Time 64: 3.758435335205527E-10
Time 65: 3.746971209219666E-10
Time 66: 3.8004386610460677E-10
Time 67: 3.7586123253331164E-10
Time 68: 3.844878005478368E-10
Time 69: 3.8260042531692136E-10
Time 70: 3.832005649848215E-10
Time 71: 3.867140944931923E-10
Time 72: 3.718054890397797E-10
Time 73: 3.753226436960893E-10
Time 74: 3.7723715219217917E-10
Time 75: 3.8059065823610426E-10
Time 76: 3.7877905851412146E-10
Time 77: 3.8893285423306116E-10
Time 78: 3.94766062055757E-10
Time 79: 3.902700926693062E-10
Time 80: 3.965893425147387E-10
Time 81: 3.9202779460641055E-10
Time 82: 3.9885066962667484E-10
Time 83: 3.8405036050069375E-10
Time 84: 3.8320555384162264E-10
Time 85: 3.8502355582400666E-10
Time 86: 3.6923865454153625E-10
Time 87: 3.8685584323697464E-10
Time 88: 3.8786878273236825E-10
Time 89: 3.790994774752829E-10
Time 90: 3.886170503103189E-10
Time 91: 3.770437878444438E-10
Time 92: 3.8648671061605403E-10
Time 93: 3.8460912366807927E-10
Time 94: 3.9398287878329055E-10
Time 95: 3.9244477859760635E-10
Time 96: 3.885656376511732E-10
Time 97: 3.990013569662289E-10
Time 98: 4.0248907958511067E-10
Time 99: 4.0454336828670846E-10
Time 100: 3.8741901727575667E-10
Time 101: 4.0276882988194453E-10
Time 102: 3.908912678976527E-10
Time 103: 4.08428737915123E-10
Time 104: 4.1219164836722675E-10
Time 105: 4.0081613261236107E-10
Time 106: 4.118433521821859E-10
Time 107: 4.125027087396484E-10
Time 108: 4.0324328437960415E-10
Time 109: 4.005378809176249E-10
Time 110: 4.0167132017126325E-10
Time 111: 4.0169669660264685E-10
Time 112: 3.9110538287428745E-10
Time 113: 4.0069400951605857E-10
Time 114: 4.021558273837086E-10
Time 115: 4.131225367957227E-10
Time 116: 4.12002763997159E-10
Time 117: 4.180365289656411E-10
Time 118: 4.192681453076509E-10
Time 119: 4.0563589935911684E-10
Time 120: 4.118568437088741E-10
