-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Lunch
Iteration: 1
Look-ahead time: 60.0 sec
Execution time: -23305 msec
-------------------------------------
Time-interval 1: 5
Time-interval 2: 4
Time-interval 3: 4
Time-interval 4: 9
Time-interval 5: 9
Time-interval 6: 9
Time-interval 7: 8
Time-interval 8: 11
Time-interval 9: 4
Time-interval 10: 6
Time-interval 11: 2
Time-interval 12: 4
Time-interval 13: 2
Time-interval 14: 12
Time-interval 15: 9
Time-interval 16: 9
Time-interval 17: 12
Time-interval 18: 4
Time-interval 19: 5
Time-interval 20: 9
Time-interval 21: 6
Time-interval 22: 5
Time-interval 23: 7
Time-interval 24: 13
Time-interval 25: 11
Time-interval 26: 10
Time-interval 27: 5
Time-interval 28: 8
Time-interval 29: 7
Time-interval 30: 9
Time-interval 31: 9
Time-interval 32: 11
Time-interval 33: 5
Time-interval 34: 8
Time-interval 35: 10
Time-interval 36: 11
Time-interval 37: 11
Time-interval 38: 12
Time-interval 39: 7
Time-interval 40: 10
Time-interval 41: 11
Time-interval 42: 11
Time-interval 43: 12
Time-interval 44: 9
Time-interval 45: 13
Time-interval 46: 10
Time-interval 47: 12
Time-interval 48: 7
Time-interval 49: 8
Time-interval 50: 13
Time-interval 51: 12
Time-interval 52: 12
Time-interval 53: 11
Time-interval 54: 11
Time-interval 55: 9
Time-interval 56: 13
Time-interval 57: 9
Time-interval 58: 15
Time-interval 59: 19
Time-interval 60: 13
Time-interval 61: 17
Time-interval 62: 11
Time-interval 63: 25
Time-interval 64: 7
Time-interval 65: 10
Time-interval 66: 22
Time-interval 67: 14
Time-interval 68: 18
Time-interval 69: 16
Time-interval 70: 18
Time-interval 71: 18
Time-interval 72: 22
Time-interval 73: 18
Time-interval 74: 20
Time-interval 75: 15
Time-interval 76: 25
Time-interval 77: 12
Time-interval 78: 16
Time-interval 79: 23
Time-interval 80: 22
Time-interval 81: 22
Time-interval 82: 18
Time-interval 83: 12
Time-interval 84: 23
Time-interval 85: 21
Time-interval 86: 24
Time-interval 87: 22
Time-interval 88: 28
Time-interval 89: 21
Time-interval 90: 15
Time-interval 91: 23
Time-interval 92: 22
Time-interval 93: 34
Time-interval 94: 28
Time-interval 95: 27
Time-interval 96: 31
Time-interval 97: 22
Time-interval 98: 24
Time-interval 99: 22
Time-interval 100: 34
Time-interval 101: 25
Time-interval 102: 19
Time-interval 103: 33
Time-interval 104: 35
Time-interval 105: 31
Time-interval 106: 35
Time-interval 107: 32
Time-interval 108: 30
Time-interval 109: 36
Time-interval 110: 41
Time-interval 111: 29
Time-interval 112: 30
Time-interval 113: 34
Time-interval 114: 28
Time-interval 115: 34
Time-interval 116: 32
Time-interval 117: 30
Time-interval 118: 27
Time-interval 119: 33
Time-interval 120: 46
