-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Lunch
Iteration: 1
Execution time: 61 msec
-------------------------------------
Time 1: 2.601426329902502E-10
Time 2: 2.60838262209614E-10
Time 3: 2.6632991224861627E-10
Time 4: 2.659250455839936E-10
Time 5: 2.701789003293069E-10
Time 6: 2.686618043185728E-10
Time 7: 2.7045567559244535E-10
Time 8: 2.652040508723306E-10
Time 9: 2.7314526378767467E-10
Time 10: 2.6578784839637354E-10
Time 11: 2.6697848686778945E-10
Time 12: 2.714435824136592E-10
Time 13: 2.637769990563104E-10
Time 14: 2.5347682154590103E-10
Time 15: 2.6455928901364337E-10
Time 16: 2.5448461699732795E-10
Time 17: 2.6334547657788934E-10
Time 18: 2.6310104886278535E-10
Time 19: 2.6539363152640216E-10
Time 20: 2.7085720084210194E-10
Time 21: 2.7493506145121844E-10
Time 22: 2.575857244020529E-10
Time 23: 2.735493022190535E-10
Time 24: 2.7811151493919717E-10
Time 25: 2.823739924575107E-10
Time 26: 2.85314758892369E-10
Time 27: 2.8792052887256555E-10
Time 28: 2.8862399760387993E-10
Time 29: 2.7857666384038766E-10
Time 30: 2.7480683835061834E-10
Time 31: 2.6623518588201484E-10
Time 32: 2.614641935424043E-10
Time 33: 2.6702470562623786E-10
Time 34: 2.6814705733528396E-10
Time 35: 2.623578075589787E-10
Time 36: 2.646293249075601E-10
Time 37: 2.712015957125049E-10
Time 38: 2.7937600284705924E-10
Time 39: 2.815199263453185E-10
Time 40: 2.8480649722085387E-10
Time 41: 2.853530443941733E-10
Time 42: 2.8280595650018324E-10
Time 43: 2.893897947146707E-10
Time 44: 2.8732596914736726E-10
Time 45: 2.899818757174919E-10
Time 46: 2.947578992014717E-10
Time 47: 2.938179582921218E-10
Time 48: 2.7914423305103677E-10
Time 49: 2.9239637452573737E-10
Time 50: 2.9215070740765373E-10
Time 51: 2.8875704906981284E-10
Time 52: 2.862392865517325E-10
Time 53: 2.88221390941051E-10
Time 54: 2.807884319706668E-10
Time 55: 2.779969925185898E-10
Time 56: 2.727176834068399E-10
Time 57: 2.8425249190209257E-10
Time 58: 2.8259131550655736E-10
Time 59: 2.9233888451576427E-10
Time 60: 2.947289144257327E-10
Time 61: 3.0070979231537716E-10
Time 62: 2.9678070007100715E-10
Time 63: 2.9498323373523183E-10
Time 64: 2.908608719119243E-10
Time 65: 3.0123841689801514E-10
Time 66: 2.972086511664796E-10
Time 67: 3.068626239960915E-10
Time 68: 3.0695707041434477E-10
Time 69: 3.122593338460158E-10
Time 70: 3.0352073328197287E-10
Time 71: 3.057284099127516E-10
Time 72: 3.1365935759407966E-10
Time 73: 3.041382192699843E-10
Time 74: 3.1243532583357556E-10
Time 75: 3.141186752337392E-10
Time 76: 3.0150131977528815E-10
Time 77: 2.9719472732106817E-10
Time 78: 3.020656989972906E-10
Time 79: 2.9719134394191045E-10
Time 80: 2.889271230837963E-10
Time 81: 3.0023587408373526E-10
Time 82: 2.993547335469191E-10
Time 83: 2.9945147671425824E-10
Time 84: 3.043568619175468E-10
Time 85: 3.095899008922421E-10
Time 86: 3.2049428172747927E-10
Time 87: 3.1570386632296176E-10
Time 88: 3.21179334651882E-10
Time 89: 3.186642010949486E-10
Time 90: 3.0736521784491073E-10
Time 91: 3.103069821750529E-10
Time 92: 3.153158695206201E-10
Time 93: 3.178196188805111E-10
Time 94: 3.2349369881225857E-10
Time 95: 3.16276932659365E-10
Time 96: 2.969575410077438E-10
Time 97: 2.881753167616765E-10
Time 98: 2.944684149220737E-10
Time 99: 2.9990877420475965E-10
Time 100: 2.9942873128126647E-10
Time 101: 3.1570623604496364E-10
Time 102: 3.1248743437122675E-10
Time 103: 3.1697647058517147E-10
Time 104: 3.224594063825696E-10
Time 105: 3.1391534505737385E-10
Time 106: 3.12874814745036E-10
Time 107: 3.108021948588976E-10
Time 108: 3.1416930385425214E-10
Time 109: 3.16128798987553E-10
Time 110: 3.1926767309546773E-10
Time 111: 3.1919772100455685E-10
Time 112: 3.0107988334831296E-10
Time 113: 3.1488171937663365E-10
Time 114: 3.1414712348511333E-10
Time 115: 3.017610947912054E-10
Time 116: 3.120917633788403E-10
Time 117: 3.058899846624005E-10
Time 118: 3.0922007280581473E-10
Time 119: 3.108136747323841E-10
Time 120: 2.992583641610322E-10
