-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Morning
Iteration: 2
Execution time: 34 msec
-------------------------------------
Time 1: 3.3152683496406625E-10
Time 2: 3.3009548877797713E-10
Time 3: 3.201450858830774E-10
Time 4: 3.3194025767521123E-10
Time 5: 3.234592579727958E-10
Time 6: 3.3372757949542284E-10
Time 7: 3.3196315485609653E-10
Time 8: 3.272786042603553E-10
Time 9: 3.2769208854208614E-10
Time 10: 3.3429367055582593E-10
Time 11: 3.311777206773193E-10
Time 12: 3.265240237518961E-10
Time 13: 3.262339490825018E-10
Time 14: 3.268793994480314E-10
Time 15: 3.1408633591410195E-10
Time 16: 3.2584351646565556E-10
Time 17: 3.312953436593867E-10
Time 18: 3.3346819234303876E-10
Time 19: 3.3426594105655023E-10
Time 20: 3.298650264080099E-10
Time 21: 3.2902165389101834E-10
Time 22: 3.33345503591578E-10
Time 23: 3.2915908394121976E-10
Time 24: 3.298679156429981E-10
Time 25: 3.306283573829404E-10
Time 26: 3.227537811621991E-10
Time 27: 3.238902753195668E-10
Time 28: 3.2557302944214515E-10
Time 29: 3.27850905099452E-10
Time 30: 3.299575081263823E-10
Time 31: 3.2861734215939453E-10
Time 32: 3.2620725686361163E-10
Time 33: 3.320612209886844E-10
Time 34: 3.353412451531737E-10
Time 35: 3.349851509667233E-10
Time 36: 3.3618024280518014E-10
Time 37: 3.3752935689149157E-10
Time 38: 3.3667367469585393E-10
Time 39: 3.333064081702214E-10
Time 40: 3.3054922800503847E-10
Time 41: 3.309573349852498E-10
Time 42: 3.286249819661151E-10
Time 43: 3.2876849797389614E-10
Time 44: 3.266214698471078E-10
Time 45: 3.292541556114965E-10
Time 46: 3.345505044160435E-10
Time 47: 3.3358993054871345E-10
Time 48: 3.3005893851258314E-10
Time 49: 3.355576785859798E-10
Time 50: 3.381206638457272E-10
Time 51: 3.3700890418766143E-10
Time 52: 3.3267857723003545E-10
Time 53: 3.3736490758959095E-10
Time 54: 3.3466472524933676E-10
Time 55: 3.389815310855685E-10
Time 56: 3.3207609416657746E-10
Time 57: 3.285892368780527E-10
Time 58: 3.3276416350002427E-10
Time 59: 3.3509810835261823E-10
Time 60: 3.3352971263456527E-10
Time 61: 3.304823975708959E-10
Time 62: 3.358491767212816E-10
Time 63: 3.3906409209697025E-10
Time 64: 3.407324787330233E-10
Time 65: 3.3313563499399637E-10
Time 66: 3.412345243394375E-10
Time 67: 3.4363641470190827E-10
Time 68: 3.419632582925576E-10
Time 69: 3.4624582827331874E-10
Time 70: 3.434970930710272E-10
Time 71: 3.4181232553153437E-10
Time 72: 3.407903829090611E-10
Time 73: 3.381696687788732E-10
Time 74: 3.3642159923054285E-10
Time 75: 3.3795767272097656E-10
Time 76: 3.3913324995228574E-10
Time 77: 3.4067942977779215E-10
Time 78: 3.499183325158158E-10
Time 79: 3.4940426473685687E-10
Time 80: 3.5051419027617184E-10
Time 81: 3.4485433892617507E-10
Time 82: 3.473340666201816E-10
Time 83: 3.5011543346651577E-10
Time 84: 3.4820932752629605E-10
Time 85: 3.465618482859227E-10
Time 86: 3.496143994563968E-10
Time 87: 3.497692477199883E-10
Time 88: 3.359559495448393E-10
Time 89: 3.3822329531135843E-10
Time 90: 3.4554070061473167E-10
Time 91: 3.541687351150305E-10
Time 92: 3.533088228236616E-10
Time 93: 3.4156198679120736E-10
Time 94: 3.5648523124788377E-10
Time 95: 3.564680377564968E-10
Time 96: 3.3981798627380535E-10
Time 97: 3.5502205124141763E-10
Time 98: 3.539806206173686E-10
Time 99: 3.5795210282796465E-10
Time 100: 3.5140109140007054E-10
Time 101: 3.3629359386214935E-10
Time 102: 3.463651970315584E-10
Time 103: 3.4370351971437E-10
Time 104: 3.4846597744688297E-10
Time 105: 3.432605475656218E-10
Time 106: 3.41214081317065E-10
Time 107: 3.473643076760104E-10
Time 108: 3.4904426492219657E-10
Time 109: 3.498343387711188E-10
Time 110: 3.4980616197029884E-10
Time 111: 3.4129979930327667E-10
Time 112: 3.4581440544601516E-10
Time 113: 3.5228325605277884E-10
Time 114: 3.406391360094014E-10
Time 115: 3.549001864616653E-10
Time 116: 3.531454968931198E-10
Time 117: 3.577590353805444E-10
Time 118: 3.554803688052199E-10
Time 119: 3.494204979510405E-10
Time 120: 3.4691972734580335E-10
