-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Evening
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -5771 msec
-------------------------------------
Time-interval 1: 6
Time-interval 2: 2
Time-interval 3: 10
Time-interval 4: 9
Time-interval 5: 6
Time-interval 6: 4
Time-interval 7: 5
Time-interval 8: 9
Time-interval 9: 3
Time-interval 10: 9
Time-interval 11: 8
Time-interval 12: 8
Time-interval 13: 2
Time-interval 14: 12
Time-interval 15: 9
Time-interval 16: 11
Time-interval 17: 5
Time-interval 18: 7
Time-interval 19: 13
Time-interval 20: 8
Time-interval 21: 5
Time-interval 22: 12
Time-interval 23: 7
Time-interval 24: 7
Time-interval 25: 6
Time-interval 26: 5
Time-interval 27: 9
Time-interval 28: 6
Time-interval 29: 8
Time-interval 30: 7
Time-interval 31: 7
Time-interval 32: 8
Time-interval 33: 4
Time-interval 34: 7
Time-interval 35: 7
Time-interval 36: 6
Time-interval 37: 7
Time-interval 38: 6
Time-interval 39: 8
Time-interval 40: 6
Time-interval 41: 5
Time-interval 42: 13
Time-interval 43: 3
Time-interval 44: 6
Time-interval 45: 10
Time-interval 46: 8
Time-interval 47: 4
Time-interval 48: 7
Time-interval 49: 8
Time-interval 50: 6
Time-interval 51: 3
Time-interval 52: 8
Time-interval 53: 10
Time-interval 54: 9
Time-interval 55: 4
Time-interval 56: 5
Time-interval 57: 4
Time-interval 58: 6
Time-interval 59: 9
Time-interval 60: 7
Time-interval 61: 8
Time-interval 62: 6
Time-interval 63: 14
Time-interval 64: 7
Time-interval 65: 7
Time-interval 66: 7
Time-interval 67: 1
Time-interval 68: 6
Time-interval 69: 7
Time-interval 70: 9
Time-interval 71: 7
Time-interval 72: 5
Time-interval 73: 3
Time-interval 74: 7
Time-interval 75: 6
Time-interval 76: 9
Time-interval 77: 5
Time-interval 78: 3
Time-interval 79: 5
Time-interval 80: 11
Time-interval 81: 5
Time-interval 82: 5
Time-interval 83: 9
Time-interval 84: 7
Time-interval 85: 5
Time-interval 86: 9
Time-interval 87: 8
Time-interval 88: 4
Time-interval 89: 4
Time-interval 90: 5
Time-interval 91: 7
Time-interval 92: 12
Time-interval 93: 7
Time-interval 94: 8
Time-interval 95: 13
Time-interval 96: 10
Time-interval 97: 3
Time-interval 98: 9
Time-interval 99: 9
Time-interval 100: 10
Time-interval 101: 4
Time-interval 102: 7
Time-interval 103: 4
Time-interval 104: 6
Time-interval 105: 10
Time-interval 106: 7
Time-interval 107: 3
Time-interval 108: 6
Time-interval 109: 5
Time-interval 110: 8
Time-interval 111: 6
Time-interval 112: 6
Time-interval 113: 9
Time-interval 114: 10
Time-interval 115: 9
Time-interval 116: 9
Time-interval 117: 12
Time-interval 118: 7
Time-interval 119: 7
Time-interval 120: 6
13508
