-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Evening
Iteration: 2
Execution time: 20 msec
-------------------------------------
Time 1: 1.8838925922302136E-10
Time 2: 1.9192198580439375E-10
Time 3: 1.9584804721693245E-10
Time 4: 1.9908810831104597E-10
Time 5: 2.003713088357057E-10
Time 6: 2.070615330905262E-10
Time 7: 2.0912204652777264E-10
Time 8: 2.122539121595852E-10
Time 9: 2.0824416715565624E-10
Time 10: 2.1416631883399498E-10
Time 11: 2.1873534548307082E-10
Time 12: 2.2114157241761405E-10
Time 13: 2.2285397924421705E-10
Time 14: 2.2292648694899888E-10
Time 15: 2.2401952405311609E-10
Time 16: 2.2139815686672385E-10
Time 17: 2.2094326146349282E-10
Time 18: 2.2319450026505795E-10
Time 19: 2.144990541938349E-10
Time 20: 2.1664313483835195E-10
Time 21: 2.1143823245588626E-10
Time 22: 2.09454555910081E-10
Time 23: 2.0795661563535858E-10
Time 24: 2.0071798645381126E-10
Time 25: 2.020488807653028E-10
Time 26: 1.9385399767810473E-10
Time 27: 1.991718133276052E-10
Time 28: 1.9386525338893776E-10
Time 29: 1.9729569634752753E-10
Time 30: 1.919005918976979E-10
Time 31: 1.9870130496275745E-10
Time 32: 1.980741130873284E-10
Time 33: 1.959741896797039E-10
Time 34: 1.934516943709476E-10
Time 35: 1.9421038144963543E-10
Time 36: 1.9120914998942307E-10
Time 37: 1.9236874354081245E-10
Time 38: 1.898123160361388E-10
Time 39: 1.917971160590146E-10
Time 40: 2.0110641444344587E-10
Time 41: 2.0302125581142993E-10
Time 42: 2.0367558318049423E-10
Time 43: 2.0348785253753695E-10
Time 44: 2.1089840839080112E-10
Time 45: 2.1174680926392126E-10
Time 46: 2.1355717911980653E-10
Time 47: 2.0526028588539073E-10
Time 48: 2.076482516645908E-10
Time 49: 2.057646791762395E-10
Time 50: 2.053503649206805E-10
Time 51: 2.0505313271066483E-10
Time 52: 2.105296189513264E-10
Time 53: 2.0698556665952836E-10
Time 54: 2.0534155996430952E-10
Time 55: 2.085010394888448E-10
Time 56: 2.1107444303765247E-10
Time 57: 2.18059363486704E-10
Time 58: 2.045106583167411E-10
Time 59: 2.059289096554474E-10
Time 60: 2.0667370150814996E-10
Time 61: 2.0869631449846735E-10
Time 62: 2.1059693360358388E-10
Time 63: 2.1059131888526272E-10
Time 64: 2.0899658835033875E-10
Time 65: 2.1137123577150356E-10
Time 66: 2.1121812271541242E-10
Time 67: 2.0862008265529347E-10
Time 68: 2.1066736766885503E-10
Time 69: 2.1027206451007445E-10
Time 70: 2.1098073008383654E-10
Time 71: 2.0708537992249328E-10
Time 72: 2.0747537028374158E-10
Time 73: 2.07494042983731E-10
Time 74: 2.0255586665328435E-10
Time 75: 2.0090070244614056E-10
Time 76: 2.0603616634681374E-10
Time 77: 2.056870860592512E-10
Time 78: 2.018116808048947E-10
Time 79: 2.0200436665080283E-10
Time 80: 2.009470336716881E-10
Time 81: 2.0233674300271495E-10
Time 82: 2.0230570076184032E-10
Time 83: 2.0675809962814285E-10
Time 84: 2.0945832727509775E-10
Time 85: 2.1068065869441223E-10
Time 86: 2.050223390122557E-10
Time 87: 2.033991197205244E-10
Time 88: 2.0350083414955728E-10
Time 89: 2.0628192845932883E-10
Time 90: 2.0687966551689368E-10
Time 91: 2.0967171270039974E-10
Time 92: 2.126189811728741E-10
Time 93: 2.1314397119191857E-10
Time 94: 2.1459200589157424E-10
Time 95: 2.1695643481953753E-10
Time 96: 2.1498860527257368E-10
Time 97: 2.2368146626983614E-10
Time 98: 2.2364610846563848E-10
Time 99: 2.2029650089283355E-10
Time 100: 2.1936828254011553E-10
Time 101: 2.2007592016428278E-10
Time 102: 2.1997480220672312E-10
Time 103: 2.172866860771531E-10
Time 104: 2.1476155509573986E-10
Time 105: 2.172170730182723E-10
Time 106: 2.1826039251418395E-10
Time 107: 2.1547476701109257E-10
Time 108: 2.112493427988654E-10
Time 109: 2.1305243157781582E-10
Time 110: 2.0980868898670706E-10
Time 111: 2.0272152242255683E-10
Time 112: 2.0844448189877418E-10
Time 113: 2.0786661683284343E-10
Time 114: 2.0429054244116004E-10
Time 115: 2.0546308442407206E-10
Time 116: 2.0428930732787448E-10
Time 117: 2.02635493639518E-10
Time 118: 2.0504466774401658E-10
Time 119: 2.0770841035544476E-10
Time 120: 2.087547489607505E-10
