-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Lunch
Iteration: 2
Look-ahead time: 300.0 sec
Execution time: -6191 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 1
Time-interval 3: 5
Time-interval 4: 4
Time-interval 5: 1
Time-interval 6: 2
Time-interval 7: 3
Time-interval 8: 1
Time-interval 9: 2
Time-interval 10: 3
Time-interval 11: 6
Time-interval 12: 2
Time-interval 13: 2
Time-interval 14: 2
Time-interval 15: 7
Time-interval 16: 1
Time-interval 17: 1
Time-interval 18: 1
Time-interval 19: 1
Time-interval 20: 5
Time-interval 21: 1
Time-interval 22: 2
Time-interval 23: 6
Time-interval 24: 1
Time-interval 25: 2
Time-interval 26: 2
Time-interval 27: 3
Time-interval 28: 6
Time-interval 29: 5
Time-interval 30: 0
Time-interval 31: 5
Time-interval 32: 3
Time-interval 33: 6
Time-interval 34: 3
Time-interval 35: 7
Time-interval 36: 2
Time-interval 37: 4
Time-interval 38: 3
Time-interval 39: 6
Time-interval 40: 4
Time-interval 41: 3
Time-interval 42: 4
Time-interval 43: 2
Time-interval 44: 4
Time-interval 45: 3
Time-interval 46: 4
Time-interval 47: 2
Time-interval 48: 3
Time-interval 49: 2
Time-interval 50: 4
Time-interval 51: 0
Time-interval 52: 4
Time-interval 53: 4
Time-interval 54: 6
Time-interval 55: 4
Time-interval 56: 2
Time-interval 57: 4
Time-interval 58: 1
Time-interval 59: 1
Time-interval 60: 6
Time-interval 61: 1
Time-interval 62: 5
Time-interval 63: 3
Time-interval 64: 1
Time-interval 65: 5
Time-interval 66: 2
Time-interval 67: 4
Time-interval 68: 5
Time-interval 69: 2
Time-interval 70: 3
Time-interval 71: 7
Time-interval 72: 1
Time-interval 73: 4
Time-interval 74: 2
Time-interval 75: 2
Time-interval 76: 1
Time-interval 77: 2
Time-interval 78: 5
Time-interval 79: 3
Time-interval 80: 7
Time-interval 81: 6
Time-interval 82: 2
Time-interval 83: 8
Time-interval 84: 2
Time-interval 85: 3
Time-interval 86: 2
Time-interval 87: 1
Time-interval 88: 2
Time-interval 89: 7
Time-interval 90: 5
Time-interval 91: 2
Time-interval 92: 4
Time-interval 93: 3
Time-interval 94: 3
Time-interval 95: 8
Time-interval 96: 1
Time-interval 97: 1
Time-interval 98: 4
Time-interval 99: 3
Time-interval 100: 3
Time-interval 101: 5
Time-interval 102: 7
Time-interval 103: 5
Time-interval 104: 3
Time-interval 105: 3
Time-interval 106: 5
Time-interval 107: 2
Time-interval 108: 1
Time-interval 109: 1
Time-interval 110: 4
Time-interval 111: 6
Time-interval 112: 2
Time-interval 113: 6
Time-interval 114: 5
Time-interval 115: 2
Time-interval 116: 5
Time-interval 117: 3
Time-interval 118: 3
Time-interval 119: 5
Time-interval 120: 5
13878
