-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Lunch
Iteration: 2
Execution time: 25 msec
-------------------------------------
Time 1: 2.2801820072515026E-10
Time 2: 2.2501016608307405E-10
Time 3: 2.1834372589522482E-10
Time 4: 2.2404417826441648E-10
Time 5: 2.2205725838167193E-10
Time 6: 2.1587280312821832E-10
Time 7: 2.164199575115525E-10
Time 8: 2.0829773503472813E-10
Time 9: 2.1019299728195652E-10
Time 10: 2.013679138748124E-10
Time 11: 2.026067926653172E-10
Time 12: 2.0299705955979E-10
Time 13: 2.0442033950144782E-10
Time 14: 2.0464044419118341E-10
Time 15: 2.022410883709928E-10
Time 16: 2.0504680692354042E-10
Time 17: 2.0210970544048078E-10
Time 18: 2.0400254096983653E-10
Time 19: 2.0307831446038653E-10
Time 20: 2.0088464390214813E-10
Time 21: 2.054713291359278E-10
Time 22: 2.0427548961098284E-10
Time 23: 2.1285214192139618E-10
Time 24: 2.1562247474349624E-10
Time 25: 2.1714778707063863E-10
Time 26: 2.2107800674830188E-10
Time 27: 2.209107305614343E-10
Time 28: 2.2270076308330042E-10
Time 29: 2.2280367382038475E-10
Time 30: 2.2409730007314544E-10
Time 31: 2.2886497639149182E-10
Time 32: 2.2345875093742074E-10
Time 33: 2.2137466782291367E-10
Time 34: 2.2329955505016967E-10
Time 35: 2.1880024622465596E-10
Time 36: 2.2304869667948216E-10
Time 37: 2.212021670298594E-10
Time 38: 2.1743022273478012E-10
Time 39: 2.2201752216678717E-10
Time 40: 2.235086123756235E-10
Time 41: 2.236824039874727E-10
Time 42: 2.2646398050012651E-10
Time 43: 2.219794306295356E-10
Time 44: 2.1902112637589225E-10
Time 45: 2.20907662891075E-10
Time 46: 2.1598045103051058E-10
Time 47: 2.2094140187096247E-10
Time 48: 2.1939812497666157E-10
Time 49: 2.1772224495940502E-10
Time 50: 2.1670220350375578E-10
Time 51: 2.1157462030377146E-10
Time 52: 2.1026612258005556E-10
Time 53: 2.112655240144405E-10
Time 54: 2.134069935843254E-10
Time 55: 2.1727690840735964E-10
Time 56: 2.1860201344316855E-10
Time 57: 2.1712371090193973E-10
Time 58: 2.136616961422002E-10
Time 59: 2.1936072685371124E-10
Time 60: 2.1593826501020175E-10
Time 61: 2.1883776947534377E-10
Time 62: 2.207421989340448E-10
Time 63: 2.2116854694133872E-10
Time 64: 2.2702597895082758E-10
Time 65: 2.2843411071851892E-10
Time 66: 2.3303981840149707E-10
Time 67: 2.329720083865388E-10
Time 68: 2.348444798738289E-10
Time 69: 2.332519133103065E-10
Time 70: 2.3660141845262276E-10
Time 71: 2.4110605871193925E-10
Time 72: 2.3428417670831597E-10
Time 73: 2.347168549115863E-10
Time 74: 2.380102699477888E-10
Time 75: 2.335632185577327E-10
Time 76: 2.3082832249785108E-10
Time 77: 2.305047564261965E-10
Time 78: 2.3090935734514542E-10
Time 79: 2.2772468155182865E-10
Time 80: 2.2800332821021112E-10
Time 81: 2.2593153698297437E-10
Time 82: 2.253353573329513E-10
Time 83: 2.1955334446092626E-10
Time 84: 2.1583660578424324E-10
Time 85: 2.1603471866654627E-10
Time 86: 2.1282886767195787E-10
Time 87: 2.1047291335324755E-10
Time 88: 2.1350196770632727E-10
Time 89: 2.162839422987943E-10
Time 90: 2.1895264606376303E-10
Time 91: 2.2194807223085315E-10
Time 92: 2.2291217591450633E-10
Time 93: 2.2976287657992585E-10
Time 94: 2.3129967570444786E-10
Time 95: 2.3437456274584045E-10
Time 96: 2.3935780178854963E-10
Time 97: 2.399592028261829E-10
Time 98: 2.4351981999475865E-10
Time 99: 2.429712779518872E-10
Time 100: 2.4602017772396195E-10
Time 101: 2.47341595606543E-10
Time 102: 2.486381466708802E-10
Time 103: 2.436190251134148E-10
Time 104: 2.442681414490218E-10
Time 105: 2.379449624823828E-10
Time 106: 2.3917829128557575E-10
Time 107: 2.3289601340452486E-10
Time 108: 2.353854924457328E-10
Time 109: 2.397728399933055E-10
Time 110: 2.371141289632557E-10
Time 111: 2.404347181266777E-10
Time 112: 2.409404874359402E-10
Time 113: 2.319342615628278E-10
Time 114: 2.360992156740067E-10
Time 115: 2.31580579809325E-10
Time 116: 2.2776628940493565E-10
Time 117: 2.3257122863121495E-10
Time 118: 2.3378602545674287E-10
Time 119: 2.225336279402116E-10
Time 120: 2.2722111367693396E-10
