-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Morning
Iteration: 1
Look-ahead time: 30.0 sec
Execution time: -5809 msec
-------------------------------------
Time-interval 1: 0
Time-interval 2: 1
Time-interval 3: 3
Time-interval 4: 1
Time-interval 5: 0
Time-interval 6: 1
Time-interval 7: 0
Time-interval 8: 0
Time-interval 9: 0
Time-interval 10: 0
Time-interval 11: 2
Time-interval 12: 1
Time-interval 13: 1
Time-interval 14: 0
Time-interval 15: 2
Time-interval 16: 1
Time-interval 17: 1
Time-interval 18: 3
Time-interval 19: 1
Time-interval 20: 1
Time-interval 21: 1
Time-interval 22: 2
Time-interval 23: 0
Time-interval 24: 2
Time-interval 25: 1
Time-interval 26: 0
Time-interval 27: 1
Time-interval 28: 1
Time-interval 29: 0
Time-interval 30: 0
Time-interval 31: 0
Time-interval 32: 2
Time-interval 33: 0
Time-interval 34: 0
Time-interval 35: 0
Time-interval 36: 0
Time-interval 37: 2
Time-interval 38: 1
Time-interval 39: 0
Time-interval 40: 3
Time-interval 41: 1
Time-interval 42: 0
Time-interval 43: 1
Time-interval 44: 2
Time-interval 45: 2
Time-interval 46: 1
Time-interval 47: 0
Time-interval 48: 1
Time-interval 49: 2
Time-interval 50: 1
Time-interval 51: 0
Time-interval 52: 0
Time-interval 53: 0
Time-interval 54: 3
Time-interval 55: 0
Time-interval 56: 0
Time-interval 57: 0
Time-interval 58: 0
Time-interval 59: 0
Time-interval 60: 1
Time-interval 61: 0
Time-interval 62: 0
Time-interval 63: 1
Time-interval 64: 1
Time-interval 65: 0
Time-interval 66: 3
Time-interval 67: 0
Time-interval 68: 2
Time-interval 69: 3
Time-interval 70: 2
Time-interval 71: 2
Time-interval 72: 4
Time-interval 73: 0
Time-interval 74: 0
Time-interval 75: 0
Time-interval 76: 2
Time-interval 77: 2
Time-interval 78: 1
Time-interval 79: 3
Time-interval 80: 2
Time-interval 81: 0
Time-interval 82: 0
Time-interval 83: 2
Time-interval 84: 1
Time-interval 85: 1
Time-interval 86: 0
Time-interval 87: 2
Time-interval 88: 3
Time-interval 89: 1
Time-interval 90: 2
Time-interval 91: 1
Time-interval 92: 2
Time-interval 93: 2
Time-interval 94: 0
Time-interval 95: 0
Time-interval 96: 1
Time-interval 97: 1
Time-interval 98: 1
Time-interval 99: 3
Time-interval 100: 1
Time-interval 101: 1
Time-interval 102: 1
Time-interval 103: 0
Time-interval 104: 2
Time-interval 105: 2
Time-interval 106: 0
Time-interval 107: 1
Time-interval 108: 0
Time-interval 109: 1
Time-interval 110: 1
Time-interval 111: 0
Time-interval 112: 0
Time-interval 113: 2
Time-interval 114: 0
Time-interval 115: 1
Time-interval 116: 0
Time-interval 117: 0
Time-interval 118: 1
Time-interval 119: 2
Time-interval 120: 0
13723
