-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Morning
Iteration: 1
Execution time: 108 msec
-------------------------------------
Time 1: 2.0773058193396325E-10
Time 2: 2.1000315501214047E-10
Time 3: 2.132515831858495E-10
Time 4: 2.1342232425254323E-10
Time 5: 2.1468469985623343E-10
Time 6: 2.0982155067796448E-10
Time 7: 2.1137488955967647E-10
Time 8: 2.1072793656683994E-10
Time 9: 2.1708460568161012E-10
Time 10: 2.1910267407568752E-10
Time 11: 2.183930695873374E-10
Time 12: 2.133051900884152E-10
Time 13: 2.1491857331676563E-10
Time 14: 2.1528882049464925E-10
Time 15: 2.1625047852712615E-10
Time 16: 2.1485545795613096E-10
Time 17: 2.1213262868072093E-10
Time 18: 2.0819764911580417E-10
Time 19: 2.0659705669203506E-10
Time 20: 2.038782718389542E-10
Time 21: 2.0529225342464464E-10
Time 22: 2.0126509482436346E-10
Time 23: 2.0675990243590606E-10
Time 24: 2.0994297161739602E-10
Time 25: 2.088713735372872E-10
Time 26: 2.0907246887212145E-10
Time 27: 2.091082379903104E-10
Time 28: 2.1034057697000874E-10
Time 29: 2.1112604301195997E-10
Time 30: 2.1293251641650399E-10
Time 31: 2.1970468597079122E-10
Time 32: 2.0803086814222713E-10
Time 33: 2.2011008704638848E-10
Time 34: 2.2188466120116165E-10
Time 35: 2.1745141258891496E-10
Time 36: 2.1778720200952633E-10
Time 37: 2.1874072905172964E-10
Time 38: 2.1366062620372094E-10
Time 39: 2.1332979080779884E-10
Time 40: 2.1475991972592931E-10
Time 41: 2.1107899073728144E-10
Time 42: 2.1558469142287445E-10
Time 43: 2.1827355665076348E-10
Time 44: 2.1270786372995923E-10
Time 45: 2.1666480939490492E-10
Time 46: 2.1784871055694453E-10
Time 47: 2.1286982762348728E-10
Time 48: 2.1416669553546935E-10
Time 49: 2.1872913554714795E-10
Time 50: 2.1947083564464648E-10
Time 51: 2.1982687163487776E-10
Time 52: 2.1949194890723954E-10
Time 53: 2.1643680779139128E-10
Time 54: 2.1310016272382824E-10
Time 55: 2.1290083007966004E-10
Time 56: 2.1373248712752723E-10
Time 57: 2.1397367093720597E-10
Time 58: 2.1353635936381623E-10
Time 59: 2.0654683051053938E-10
Time 60: 2.1401959840192563E-10
Time 61: 2.0919601459757965E-10
Time 62: 2.0494028709102072E-10
Time 63: 2.1621047949714213E-10
Time 64: 2.1787929208959744E-10
Time 65: 2.175617292304528E-10
Time 66: 2.171312344597532E-10
Time 67: 2.1278203176059178E-10
Time 68: 2.113494506092506E-10
Time 69: 2.1867322224206271E-10
Time 70: 2.1442543617295068E-10
Time 71: 2.1602437175495672E-10
Time 72: 2.1522486759873533E-10
Time 73: 2.1748698395283763E-10
Time 74: 2.1469955709321758E-10
Time 75: 2.1453023000173025E-10
Time 76: 2.1168905948517638E-10
Time 77: 2.1410443478015803E-10
Time 78: 2.1795257797935743E-10
Time 79: 2.1797935822154457E-10
Time 80: 2.1624572413178772E-10
Time 81: 2.0966107343587028E-10
Time 82: 2.1460855617850955E-10
Time 83: 2.1494417436644347E-10
Time 84: 2.1238084606464094E-10
Time 85: 2.1260735582694032E-10
Time 86: 2.1369809537509127E-10
Time 87: 2.0864490553016942E-10
Time 88: 2.0785243855341015E-10
Time 89: 2.0456691048695814E-10
Time 90: 2.1229547785880874E-10
Time 91: 2.1373942601768675E-10
Time 92: 2.1580017714966172E-10
Time 93: 2.164985751202232E-10
Time 94: 2.035741699319741E-10
Time 95: 2.1370805174945342E-10
Time 96: 2.1279139114522872E-10
Time 97: 2.13006834386787E-10
Time 98: 2.1676693798711813E-10
Time 99: 2.1343122634319135E-10
Time 100: 2.1957283276378172E-10
Time 101: 2.1462683409219443E-10
Time 102: 2.139419819660343E-10
Time 103: 2.141996907560728E-10
Time 104: 2.1698845789619601E-10
Time 105: 2.134648144309516E-10
Time 106: 2.176738255907306E-10
Time 107: 2.1924086407103508E-10
Time 108: 2.1513001037244237E-10
Time 109: 2.1470116481542826E-10
Time 110: 2.1728899502641209E-10
Time 111: 2.1937796522455635E-10
Time 112: 2.208973325226163E-10
Time 113: 2.1675041972911555E-10
Time 114: 2.102256664429956E-10
Time 115: 2.1364047807752135E-10
Time 116: 2.1720211113184268E-10
Time 117: 2.0989516712843215E-10
Time 118: 2.1350984920331717E-10
Time 119: 2.026111732039822E-10
Time 120: 2.1267470346780435E-10
