-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Evening
Iteration: 2
Look-ahead time: 300.0 sec
Execution time: -10846 msec
-------------------------------------
Time-interval 1: 5
Time-interval 2: 2
Time-interval 3: 2
Time-interval 4: 6
Time-interval 5: 12
Time-interval 6: 2
Time-interval 7: 9
Time-interval 8: 0
Time-interval 9: 3
Time-interval 10: 3
Time-interval 11: 4
Time-interval 12: 9
Time-interval 13: 2
Time-interval 14: 5
Time-interval 15: 3
Time-interval 16: 5
Time-interval 17: 4
Time-interval 18: 5
Time-interval 19: 5
Time-interval 20: 1
Time-interval 21: 6
Time-interval 22: 6
Time-interval 23: 6
Time-interval 24: 2
Time-interval 25: 5
Time-interval 26: 5
Time-interval 27: 6
Time-interval 28: 5
Time-interval 29: 5
Time-interval 30: 6
Time-interval 31: 9
Time-interval 32: 6
Time-interval 33: 5
Time-interval 34: 5
Time-interval 35: 4
Time-interval 36: 3
Time-interval 37: 5
Time-interval 38: 7
Time-interval 39: 8
Time-interval 40: 3
Time-interval 41: 5
Time-interval 42: 7
Time-interval 43: 6
Time-interval 44: 7
Time-interval 45: 4
Time-interval 46: 5
Time-interval 47: 5
Time-interval 48: 7
Time-interval 49: 9
Time-interval 50: 3
Time-interval 51: 5
Time-interval 52: 5
Time-interval 53: 7
Time-interval 54: 3
Time-interval 55: 5
Time-interval 56: 4
Time-interval 57: 6
Time-interval 58: 1
Time-interval 59: 3
Time-interval 60: 7
Time-interval 61: 8
Time-interval 62: 4
Time-interval 63: 6
Time-interval 64: 3
Time-interval 65: 5
Time-interval 66: 6
Time-interval 67: 5
Time-interval 68: 2
Time-interval 69: 4
Time-interval 70: 2
Time-interval 71: 2
Time-interval 72: 6
Time-interval 73: 1
Time-interval 74: 7
Time-interval 75: 2
Time-interval 76: 5
Time-interval 77: 6
Time-interval 78: 3
Time-interval 79: 4
Time-interval 80: 3
Time-interval 81: 1
Time-interval 82: 4
Time-interval 83: 3
Time-interval 84: 6
Time-interval 85: 3
Time-interval 86: 4
Time-interval 87: 5
Time-interval 88: 9
Time-interval 89: 8
Time-interval 90: 7
Time-interval 91: 5
Time-interval 92: 9
Time-interval 93: 7
Time-interval 94: 3
Time-interval 95: 2
Time-interval 96: 6
Time-interval 97: 6
Time-interval 98: 16
Time-interval 99: 5
Time-interval 100: 10
Time-interval 101: 6
Time-interval 102: 6
Time-interval 103: 7
Time-interval 104: 10
Time-interval 105: 7
Time-interval 106: 9
Time-interval 107: 5
Time-interval 108: 5
Time-interval 109: 8
Time-interval 110: 5
Time-interval 111: 3
Time-interval 112: 8
Time-interval 113: 7
Time-interval 114: 6
Time-interval 115: 2
Time-interval 116: 7
Time-interval 117: 3
Time-interval 118: 9
Time-interval 119: 8
Time-interval 120: 8
18106
