-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Evening
Iteration: 2
Execution time: 58 msec
-------------------------------------
Time 1: 2.1227219264539977E-10
Time 2: 2.1592076355491763E-10
Time 3: 2.176676266727277E-10
Time 4: 2.222371319117424E-10
Time 5: 2.2940863684451532E-10
Time 6: 2.2592455116196086E-10
Time 7: 2.2713033386278394E-10
Time 8: 2.2718933405813424E-10
Time 9: 2.351788745869062E-10
Time 10: 2.343267867085795E-10
Time 11: 2.3392580215618295E-10
Time 12: 2.342044662141396E-10
Time 13: 2.203421178006371E-10
Time 14: 2.318768240761455E-10
Time 15: 2.3201491134044097E-10
Time 16: 2.3447407496700767E-10
Time 17: 2.3656668848124054E-10
Time 18: 2.3457334535503787E-10
Time 19: 2.27349647906642E-10
Time 20: 2.236549946068506E-10
Time 21: 2.277622225178653E-10
Time 22: 2.2990003146389574E-10
Time 23: 2.314005514501782E-10
Time 24: 2.374343588571229E-10
Time 25: 2.3682911702936085E-10
Time 26: 2.4068706686799207E-10
Time 27: 2.3335382473239643E-10
Time 28: 2.341475910248668E-10
Time 29: 2.2523468764273943E-10
Time 30: 2.2882094805301263E-10
Time 31: 2.2582348196436714E-10
Time 32: 2.3026512075973186E-10
Time 33: 2.35872148069035E-10
Time 34: 2.3988078775263233E-10
Time 35: 2.4529889652902326E-10
Time 36: 2.3180478396468858E-10
Time 37: 2.248001931609234E-10
Time 38: 2.3163389514844758E-10
Time 39: 2.3386445443109227E-10
Time 40: 2.374472172713402E-10
Time 41: 2.2786530608126075E-10
Time 42: 2.338583305190634E-10
Time 43: 2.3616760221801366E-10
Time 44: 2.376569729037847E-10
Time 45: 2.3446207823652196E-10
Time 46: 2.383810278469417E-10
Time 47: 2.3582793323420385E-10
Time 48: 2.4530427878649296E-10
Time 49: 2.4807354304875236E-10
Time 50: 2.4315223715508525E-10
Time 51: 2.4494071140602226E-10
Time 52: 2.541962767791147E-10
Time 53: 2.4513885880652027E-10
Time 54: 2.494443842312953E-10
Time 55: 2.375517099135543E-10
Time 56: 2.3371019759168394E-10
Time 57: 2.301847014973731E-10
Time 58: 2.2512655703308505E-10
Time 59: 2.2962726152088605E-10
Time 60: 2.2041046747354938E-10
Time 61: 2.277095131249039E-10
Time 62: 2.2358457496020305E-10
Time 63: 2.2883378509015693E-10
Time 64: 2.3159355380772078E-10
Time 65: 2.359750768155376E-10
Time 66: 2.3619214048230054E-10
Time 67: 2.4123462940117955E-10
Time 68: 2.3961212458738367E-10
Time 69: 2.3646285886771304E-10
Time 70: 2.36210192630765E-10
Time 71: 2.438194404856384E-10
Time 72: 2.4173805550748973E-10
Time 73: 2.39074684579331E-10
Time 74: 2.4818208910655066E-10
Time 75: 2.4543727092532923E-10
Time 76: 2.5038519982987073E-10
Time 77: 2.448486020577389E-10
Time 78: 2.422066078864684E-10
Time 79: 2.451351475188623E-10
Time 80: 2.439850536142225E-10
Time 81: 2.4281935094592595E-10
Time 82: 2.2690829894833717E-10
Time 83: 2.277869546258979E-10
Time 84: 2.329883595413469E-10
Time 85: 2.3878692820883523E-10
Time 86: 2.335049286969775E-10
Time 87: 2.2913889831131255E-10
Time 88: 2.244616739914977E-10
Time 89: 2.2993422610478944E-10
Time 90: 2.328399703128459E-10
Time 91: 2.3383124440401117E-10
Time 92: 2.3776455018772876E-10
Time 93: 2.4440280131663146E-10
Time 94: 2.450557440591212E-10
Time 95: 2.436934058457995E-10
Time 96: 2.454963436190864E-10
Time 97: 2.446920119522562E-10
Time 98: 2.5272269441248147E-10
Time 99: 2.4896278151600174E-10
Time 100: 2.4984131445251883E-10
Time 101: 2.5037118752472117E-10
Time 102: 2.5346564183988855E-10
Time 103: 2.410672311869365E-10
Time 104: 2.5158513001481225E-10
Time 105: 2.328735128577368E-10
Time 106: 2.4224004116150645E-10
Time 107: 2.5262460677713824E-10
Time 108: 2.4365002858101505E-10
Time 109: 2.4961229434848925E-10
Time 110: 2.5021716898376054E-10
Time 111: 2.5071794780274443E-10
Time 112: 2.508767900986408E-10
Time 113: 2.6161326284260885E-10
Time 114: 2.5261261843939453E-10
Time 115: 2.6317406072963324E-10
Time 116: 2.5609314289376463E-10
Time 117: 2.4964522119988867E-10
Time 118: 2.502563611344486E-10
Time 119: 2.601557782975154E-10
Time 120: 2.503259933834995E-10
