-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Lunch
Iteration: 1
Execution time: 27 msec
-------------------------------------
Time 1: 2.7335782113938136E-10
Time 2: 2.679361760936409E-10
Time 3: 2.792159311537397E-10
Time 4: 2.687360108789199E-10
Time 5: 2.768187708601399E-10
Time 6: 2.7564560731998523E-10
Time 7: 2.7643127250004315E-10
Time 8: 2.708707196001955E-10
Time 9: 2.684226713270585E-10
Time 10: 2.6643654952541644E-10
Time 11: 2.684296753980603E-10
Time 12: 2.630953126800113E-10
Time 13: 2.6340777773004746E-10
Time 14: 2.633237659747916E-10
Time 15: 2.6787811366251563E-10
Time 16: 2.729190338141647E-10
Time 17: 2.6949920152196084E-10
Time 18: 2.703940173688851E-10
Time 19: 2.736556524160886E-10
Time 20: 2.68096966225551E-10
Time 21: 2.711902790758091E-10
Time 22: 2.756123147506591E-10
Time 23: 2.791386499305573E-10
Time 24: 2.811742685895336E-10
Time 25: 2.8433580258082846E-10
Time 26: 2.8450540046152223E-10
Time 27: 2.849074279499841E-10
Time 28: 2.8344903726476937E-10
Time 29: 2.7906091562706686E-10
Time 30: 2.874874486227241E-10
Time 31: 2.8677079954466905E-10
Time 32: 2.8893259819890697E-10
Time 33: 2.8196625154268585E-10
Time 34: 2.780750548865343E-10
Time 35: 2.813493506491462E-10
Time 36: 2.744998398390651E-10
Time 37: 2.7566802271399066E-10
Time 38: 2.733172268760748E-10
Time 39: 2.7153211641520863E-10
Time 40: 2.7956259721431534E-10
Time 41: 2.5798885012232693E-10
Time 42: 2.7889858594253947E-10
Time 43: 2.839278842147297E-10
Time 44: 2.8226050428917846E-10
Time 45: 2.8359926461582384E-10
Time 46: 2.835213758220196E-10
Time 47: 2.88044176832536E-10
Time 48: 2.8776577325195434E-10
Time 49: 2.903920866254768E-10
Time 50: 2.928810675643656E-10
Time 51: 2.9402063216699224E-10
Time 52: 2.90561693475269E-10
Time 53: 2.963194443358392E-10
Time 54: 2.835147836912729E-10
Time 55: 2.906364164206805E-10
Time 56: 2.860992469507749E-10
Time 57: 2.860394275725891E-10
Time 58: 2.8399854385575634E-10
Time 59: 2.760474497568494E-10
Time 60: 2.7871617761553064E-10
Time 61: 2.797211891702149E-10
Time 62: 2.7491900275766564E-10
Time 63: 2.8038460117583407E-10
Time 64: 2.801261017159471E-10
Time 65: 2.753659142908967E-10
Time 66: 2.888479118464073E-10
Time 67: 2.906790897938329E-10
Time 68: 2.9354527561855333E-10
Time 69: 2.9368732493628297E-10
Time 70: 2.9393686525803244E-10
Time 71: 3.014162463574121E-10
Time 72: 3.0091580760705585E-10
Time 73: 3.016223215962353E-10
Time 74: 2.9941494012761984E-10
Time 75: 2.995136187278807E-10
Time 76: 3.0177765018457526E-10
Time 77: 3.0051682492624804E-10
Time 78: 2.9662444418338823E-10
Time 79: 2.995997010612993E-10
Time 80: 2.993214215614211E-10
Time 81: 3.029983476814559E-10
Time 82: 2.9459891509764316E-10
Time 83: 2.9782449769957887E-10
Time 84: 3.006349765220504E-10
Time 85: 2.9870832959153656E-10
Time 86: 2.9976226024349426E-10
Time 87: 3.029844312554098E-10
Time 88: 3.0021517283011525E-10
Time 89: 3.026082273676418E-10
Time 90: 2.992627168609693E-10
Time 91: 2.992559661317084E-10
Time 92: 3.1415646479537625E-10
Time 93: 3.141380016721663E-10
Time 94: 3.1281654138998E-10
Time 95: 3.172600331408805E-10
Time 96: 3.01428049464891E-10
Time 97: 3.1198113741550303E-10
Time 98: 3.0935892881360007E-10
Time 99: 3.1494390874096896E-10
Time 100: 3.1739115616428303E-10
Time 101: 3.2273067466705126E-10
Time 102: 3.123006142727081E-10
Time 103: 3.1933112099760727E-10
Time 104: 3.2302003085903985E-10
Time 105: 3.1887647047600996E-10
Time 106: 3.175348533461927E-10
Time 107: 3.201549752475288E-10
Time 108: 3.207425415166223E-10
Time 109: 3.226448356606586E-10
Time 110: 3.173122536328948E-10
Time 111: 3.012324783305798E-10
Time 112: 3.092847083368567E-10
Time 113: 3.12518884596329E-10
Time 114: 3.258887306802516E-10
Time 115: 3.201504825474041E-10
Time 116: 3.223641634157105E-10
Time 117: 3.193180466850692E-10
Time 118: 3.1031140228076315E-10
Time 119: 3.2037083871987216E-10
Time 120: 3.285384548486429E-10
