-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Morning
Iteration: 2
Look-ahead time: 45.0 sec
Execution time: -11384 msec
-------------------------------------
Time-interval 1: 1
Time-interval 2: 2
Time-interval 3: 2
Time-interval 4: 1
Time-interval 5: 1
Time-interval 6: 0
Time-interval 7: 1
Time-interval 8: 1
Time-interval 9: 2
Time-interval 10: 3
Time-interval 11: 2
Time-interval 12: 1
Time-interval 13: 0
Time-interval 14: 1
Time-interval 15: 5
Time-interval 16: 1
Time-interval 17: 3
Time-interval 18: 6
Time-interval 19: 2
Time-interval 20: 3
Time-interval 21: 3
Time-interval 22: 2
Time-interval 23: 4
Time-interval 24: 1
Time-interval 25: 3
Time-interval 26: 1
Time-interval 27: 2
Time-interval 28: 3
Time-interval 29: 2
Time-interval 30: 0
Time-interval 31: 2
Time-interval 32: 2
Time-interval 33: 3
Time-interval 34: 0
Time-interval 35: 0
Time-interval 36: 0
Time-interval 37: 1
Time-interval 38: 4
Time-interval 39: 6
Time-interval 40: 2
Time-interval 41: 2
Time-interval 42: 1
Time-interval 43: 6
Time-interval 44: 2
Time-interval 45: 4
Time-interval 46: 1
Time-interval 47: 3
Time-interval 48: 0
Time-interval 49: 3
Time-interval 50: 1
Time-interval 51: 0
Time-interval 52: 2
Time-interval 53: 4
Time-interval 54: 2
Time-interval 55: 2
Time-interval 56: 1
Time-interval 57: 1
Time-interval 58: 0
Time-interval 59: 1
Time-interval 60: 2
Time-interval 61: 3
Time-interval 62: 2
Time-interval 63: 0
Time-interval 64: 2
Time-interval 65: 7
Time-interval 66: 2
Time-interval 67: 3
Time-interval 68: 0
Time-interval 69: 0
Time-interval 70: 3
Time-interval 71: 0
Time-interval 72: 2
Time-interval 73: 2
Time-interval 74: 5
Time-interval 75: 3
Time-interval 76: 3
Time-interval 77: 5
Time-interval 78: 2
Time-interval 79: 7
Time-interval 80: 4
Time-interval 81: 2
Time-interval 82: 0
Time-interval 83: 1
Time-interval 84: 3
Time-interval 85: 1
Time-interval 86: 2
Time-interval 87: 2
Time-interval 88: 2
Time-interval 89: 7
Time-interval 90: 2
Time-interval 91: 5
Time-interval 92: 3
Time-interval 93: 6
Time-interval 94: 0
Time-interval 95: 2
Time-interval 96: 4
Time-interval 97: 2
Time-interval 98: 1
Time-interval 99: 4
Time-interval 100: 2
Time-interval 101: 1
Time-interval 102: 3
Time-interval 103: 3
Time-interval 104: 3
Time-interval 105: 0
Time-interval 106: 3
Time-interval 107: 1
Time-interval 108: 6
Time-interval 109: 2
Time-interval 110: 4
Time-interval 111: 2
Time-interval 112: 1
Time-interval 113: 6
Time-interval 114: 7
Time-interval 115: 2
Time-interval 116: 3
Time-interval 117: 4
Time-interval 118: 1
Time-interval 119: 5
Time-interval 120: 0
17595
