-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Morning
Iteration: 1
Execution time: 21 msec
-------------------------------------
Time 1: 2.6461720656457317E-10
Time 2: 2.6293601726932566E-10
Time 3: 2.624158973396464E-10
Time 4: 2.6006933926642513E-10
Time 5: 2.604532811351619E-10
Time 6: 2.50192440780292E-10
Time 7: 2.6444714670523925E-10
Time 8: 2.6051248362417067E-10
Time 9: 2.628005982594297E-10
Time 10: 2.675012405477082E-10
Time 11: 2.691079748058655E-10
Time 12: 2.6778342490915255E-10
Time 13: 2.6507619844013057E-10
Time 14: 2.659813072940319E-10
Time 15: 2.6825665431639333E-10
Time 16: 2.783967071066845E-10
Time 17: 2.684160559461163E-10
Time 18: 2.7064011124254386E-10
Time 19: 2.686074925891006E-10
Time 20: 2.6606511206622813E-10
Time 21: 2.6715838074097656E-10
Time 22: 2.6258306426288673E-10
Time 23: 2.5778843537625965E-10
Time 24: 2.591750138068875E-10
Time 25: 2.5981351769977193E-10
Time 26: 2.6212081404863505E-10
Time 27: 2.635121810508546E-10
Time 28: 2.6928252068339877E-10
Time 29: 2.7301067532145777E-10
Time 30: 2.736136536215836E-10
Time 31: 2.725172012560453E-10
Time 32: 2.74923695094846E-10
Time 33: 2.746779551761077E-10
Time 34: 2.7799520338611387E-10
Time 35: 2.7581937304513527E-10
Time 36: 2.7993546627772106E-10
Time 37: 2.787879262622591E-10
Time 38: 2.714631867271408E-10
Time 39: 2.7642143918038066E-10
Time 40: 2.7757353384100595E-10
Time 41: 2.7688103369269516E-10
Time 42: 2.7533009779906533E-10
Time 43: 2.69553499005353E-10
Time 44: 2.6845967715936747E-10
Time 45: 2.7012785490297206E-10
Time 46: 2.694749827735607E-10
Time 47: 2.6674578090698814E-10
Time 48: 2.6424408275312926E-10
Time 49: 2.7122888112911077E-10
Time 50: 2.735870327832945E-10
Time 51: 2.7211479780981773E-10
Time 52: 2.707931029498043E-10
Time 53: 2.6999058640884966E-10
Time 54: 2.7125331809909705E-10
Time 55: 2.6368233411557014E-10
Time 56: 2.695553813531794E-10
Time 57: 2.805718950513489E-10
Time 58: 2.775730599255253E-10
Time 59: 2.7234759293977375E-10
Time 60: 2.692505981137121E-10
Time 61: 2.7159191716338325E-10
Time 62: 2.6962290858311166E-10
Time 63: 2.71088725019017E-10
Time 64: 2.72955736981602E-10
Time 65: 2.6914404438174524E-10
Time 66: 2.743419563484397E-10
Time 67: 2.7287585202206463E-10
Time 68: 2.6521945400367015E-10
Time 69: 2.7876871494694E-10
Time 70: 2.7865074911252826E-10
Time 71: 2.794893339672295E-10
Time 72: 2.812404510600459E-10
Time 73: 2.8142445839730045E-10
Time 74: 2.7946449760827914E-10
Time 75: 2.8125587277965347E-10
Time 76: 2.799319518345272E-10
Time 77: 2.7677526097287186E-10
Time 78: 2.823243965339455E-10
Time 79: 2.8210146502693367E-10
Time 80: 2.851213772940161E-10
Time 81: 2.793944296228616E-10
Time 82: 2.729388250580859E-10
Time 83: 2.7378737498676794E-10
Time 84: 2.7647487925434326E-10
Time 85: 2.760228426418621E-10
Time 86: 2.7662129674642886E-10
Time 87: 2.7760008755266714E-10
Time 88: 2.7817055107151607E-10
Time 89: 2.8504349578395695E-10
Time 90: 2.80175498843554E-10
Time 91: 2.826518998656649E-10
Time 92: 2.7875428813912427E-10
Time 93: 2.835495815980221E-10
Time 94: 2.7825073814381817E-10
Time 95: 2.759428665116281E-10
Time 96: 2.7554701671442465E-10
Time 97: 2.7377421486337213E-10
Time 98: 2.718629740731051E-10
Time 99: 2.817196535871843E-10
Time 100: 2.7911519318115325E-10
Time 101: 2.776054970869042E-10
Time 102: 2.776316114960229E-10
Time 103: 2.844587769356481E-10
Time 104: 2.807383716305881E-10
Time 105: 2.6816208736551964E-10
Time 106: 2.6741407900631143E-10
Time 107: 2.733713533702826E-10
Time 108: 2.7574474185204244E-10
Time 109: 2.7686182979907245E-10
Time 110: 2.763820353311372E-10
Time 111: 2.76360697796896E-10
Time 112: 2.7443046289760767E-10
Time 113: 2.6870382904528475E-10
Time 114: 2.730576436765177E-10
Time 115: 2.7567482993500077E-10
Time 116: 2.760890648606493E-10
Time 117: 2.7123211264977744E-10
Time 118: 2.724202165210018E-10
Time 119: 2.760440468274361E-10
Time 120: 2.7441099280067763E-10
