-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -33018 msec
-------------------------------------
Time-interval 1: 22
Time-interval 2: 26
Time-interval 3: 27
Time-interval 4: 23
Time-interval 5: 27
Time-interval 6: 20
Time-interval 7: 29
Time-interval 8: 35
Time-interval 9: 26
Time-interval 10: 26
Time-interval 11: 26
Time-interval 12: 28
Time-interval 13: 27
Time-interval 14: 30
Time-interval 15: 29
Time-interval 16: 30
Time-interval 17: 28
Time-interval 18: 35
Time-interval 19: 28
Time-interval 20: 19
Time-interval 21: 20
Time-interval 22: 32
Time-interval 23: 33
Time-interval 24: 33
Time-interval 25: 31
Time-interval 26: 22
Time-interval 27: 29
Time-interval 28: 25
Time-interval 29: 29
Time-interval 30: 33
Time-interval 31: 38
Time-interval 32: 26
Time-interval 33: 40
Time-interval 34: 40
Time-interval 35: 19
Time-interval 36: 27
Time-interval 37: 42
Time-interval 38: 33
Time-interval 39: 29
Time-interval 40: 39
Time-interval 41: 37
Time-interval 42: 32
Time-interval 43: 32
Time-interval 44: 29
Time-interval 45: 27
Time-interval 46: 38
Time-interval 47: 28
Time-interval 48: 39
Time-interval 49: 38
Time-interval 50: 24
Time-interval 51: 17
Time-interval 52: 40
Time-interval 53: 31
Time-interval 54: 36
Time-interval 55: 30
Time-interval 56: 43
Time-interval 57: 36
Time-interval 58: 46
Time-interval 59: 33
Time-interval 60: 26
Time-interval 61: 41
Time-interval 62: 29
Time-interval 63: 34
Time-interval 64: 36
Time-interval 65: 45
Time-interval 66: 31
Time-interval 67: 53
Time-interval 68: 34
Time-interval 69: 41
Time-interval 70: 52
Time-interval 71: 33
Time-interval 72: 40
Time-interval 73: 37
Time-interval 74: 55
Time-interval 75: 50
Time-interval 76: 35
Time-interval 77: 38
Time-interval 78: 42
Time-interval 79: 47
Time-interval 80: 46
Time-interval 81: 51
Time-interval 82: 55
Time-interval 83: 39
Time-interval 84: 50
Time-interval 85: 42
Time-interval 86: 57
Time-interval 87: 48
Time-interval 88: 48
Time-interval 89: 47
Time-interval 90: 47
Time-interval 91: 59
Time-interval 92: 42
Time-interval 93: 56
Time-interval 94: 51
Time-interval 95: 48
Time-interval 96: 38
Time-interval 97: 45
Time-interval 98: 42
Time-interval 99: 51
Time-interval 100: 50
Time-interval 101: 69
Time-interval 102: 51
Time-interval 103: 64
Time-interval 104: 55
Time-interval 105: 73
Time-interval 106: 62
Time-interval 107: 66
Time-interval 108: 57
Time-interval 109: 64
Time-interval 110: 74
Time-interval 111: 65
Time-interval 112: 73
Time-interval 113: 63
Time-interval 114: 66
Time-interval 115: 55
Time-interval 116: 49
Time-interval 117: 68
Time-interval 118: 68
Time-interval 119: 68
Time-interval 120: 53
25524
