-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 2
Execution time: 96 msec
-------------------------------------
Time 1: 3.3349768153469377E-10
Time 2: 3.368395042236497E-10
Time 3: 3.3155545208852066E-10
Time 4: 3.3404994664680794E-10
Time 5: 3.349586183136081E-10
Time 6: 3.3917069762445577E-10
Time 7: 3.2341203489642586E-10
Time 8: 3.25568627038233E-10
Time 9: 3.38275242430081E-10
Time 10: 3.178781414915741E-10
Time 11: 3.248497237462366E-10
Time 12: 3.2806793183290265E-10
Time 13: 3.3751148955668995E-10
Time 14: 3.167663561056974E-10
Time 15: 3.3378418191297895E-10
Time 16: 3.2939263038337993E-10
Time 17: 3.2888151499828007E-10
Time 18: 3.364121552715732E-10
Time 19: 3.27236095235044E-10
Time 20: 3.3359693751976054E-10
Time 21: 3.278008494375897E-10
Time 22: 3.38769862051765E-10
Time 23: 3.4160733580692734E-10
Time 24: 3.3632173150962497E-10
Time 25: 3.3822584460882203E-10
Time 26: 3.394507562126974E-10
Time 27: 3.443298161559618E-10
Time 28: 3.425443327333062E-10
Time 29: 3.347528086936655E-10
Time 30: 3.405110682557429E-10
Time 31: 3.373343972617298E-10
Time 32: 3.2644844953660165E-10
Time 33: 3.2863132435148703E-10
Time 34: 3.391069298444588E-10
Time 35: 3.2790709447838403E-10
Time 36: 3.388892880004156E-10
Time 37: 3.4782447200186466E-10
Time 38: 3.3088515927461263E-10
Time 39: 3.396217467728688E-10
Time 40: 3.442918526905183E-10
Time 41: 3.407821366793121E-10
Time 42: 3.5063394389311137E-10
Time 43: 3.563325471439735E-10
Time 44: 3.5471976239736226E-10
Time 45: 3.6016792233193867E-10
Time 46: 3.452474862597305E-10
Time 47: 3.445037088740421E-10
Time 48: 3.4396791441877386E-10
Time 49: 3.391847869569748E-10
Time 50: 3.338660567164192E-10
Time 51: 3.4323262656477867E-10
Time 52: 3.3817809769011115E-10
Time 53: 3.4926442024429227E-10
Time 54: 3.4579829910707813E-10
Time 55: 3.47415612277199E-10
Time 56: 3.434819999520246E-10
Time 57: 3.5251300561724884E-10
Time 58: 3.6273796649319704E-10
Time 59: 3.6983812594387595E-10
Time 60: 3.658624873420758E-10
Time 61: 3.7060927174159924E-10
Time 62: 3.639735324848106E-10
Time 63: 3.472216623097471E-10
Time 64: 3.450745663074867E-10
Time 65: 3.504069314386217E-10
Time 66: 3.4047592058494503E-10
Time 67: 3.5396714985269644E-10
Time 68: 3.447819991313965E-10
Time 69: 3.537477545821473E-10
Time 70: 3.579689921364896E-10
Time 71: 3.711267378087925E-10
Time 72: 3.7392824907106426E-10
Time 73: 3.7337729114854093E-10
Time 74: 3.7749669645199485E-10
Time 75: 3.648482846859584E-10
Time 76: 3.6625199734060163E-10
Time 77: 3.5755322138911914E-10
Time 78: 3.700161788227098E-10
Time 79: 3.618987283364583E-10
Time 80: 3.695706783475268E-10
Time 81: 3.572107478293373E-10
Time 82: 3.6472259808293217E-10
Time 83: 3.7229736809562536E-10
Time 84: 3.549401947683956E-10
Time 85: 3.635862934762044E-10
Time 86: 3.555906451967415E-10
Time 87: 3.6196779402674926E-10
Time 88: 3.6492018432755326E-10
Time 89: 3.77454057890813E-10
Time 90: 3.7385568468637695E-10
Time 91: 3.755132894005393E-10
Time 92: 3.734898271258269E-10
Time 93: 3.7527126355768E-10
Time 94: 3.825214554294211E-10
Time 95: 3.5471016862117423E-10
Time 96: 3.592323572196739E-10
Time 97: 3.7626042228716495E-10
Time 98: 3.7330224273997337E-10
Time 99: 3.64634162082515E-10
Time 100: 3.75224393586692E-10
Time 101: 3.7489702897234826E-10
Time 102: 3.791939884576986E-10
Time 103: 3.9306583628801955E-10
Time 104: 3.685842917694023E-10
Time 105: 3.7156596004950633E-10
Time 106: 3.7648412391384273E-10
Time 107: 3.8023258793823774E-10
Time 108: 3.8711439013488977E-10
Time 109: 3.7985403320122805E-10
Time 110: 3.7784587631363216E-10
Time 111: 3.7863147666348313E-10
Time 112: 3.906713163946825E-10
Time 113: 3.8386891668454697E-10
Time 114: 3.927057333833011E-10
Time 115: 3.8831847803383703E-10
Time 116: 3.9559440031469924E-10
Time 117: 3.8862226863785256E-10
Time 118: 3.9792948211317184E-10
Time 119: 3.790221074064462E-10
Time 120: 3.893729789280785E-10
