-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -27847 msec
-------------------------------------
Time-interval 1: 21
Time-interval 2: 23
Time-interval 3: 21
Time-interval 4: 25
Time-interval 5: 20
Time-interval 6: 29
Time-interval 7: 22
Time-interval 8: 17
Time-interval 9: 22
Time-interval 10: 29
Time-interval 11: 21
Time-interval 12: 22
Time-interval 13: 23
Time-interval 14: 17
Time-interval 15: 23
Time-interval 16: 20
Time-interval 17: 22
Time-interval 18: 19
Time-interval 19: 22
Time-interval 20: 27
Time-interval 21: 22
Time-interval 22: 25
Time-interval 23: 10
Time-interval 24: 29
Time-interval 25: 9
Time-interval 26: 21
Time-interval 27: 23
Time-interval 28: 20
Time-interval 29: 31
Time-interval 30: 19
Time-interval 31: 22
Time-interval 32: 26
Time-interval 33: 39
Time-interval 34: 33
Time-interval 35: 30
Time-interval 36: 40
Time-interval 37: 21
Time-interval 38: 24
Time-interval 39: 36
Time-interval 40: 17
Time-interval 41: 35
Time-interval 42: 24
Time-interval 43: 23
Time-interval 44: 20
Time-interval 45: 26
Time-interval 46: 24
Time-interval 47: 28
Time-interval 48: 40
Time-interval 49: 37
Time-interval 50: 36
Time-interval 51: 30
Time-interval 52: 25
Time-interval 53: 32
Time-interval 54: 35
Time-interval 55: 38
Time-interval 56: 31
Time-interval 57: 37
Time-interval 58: 31
Time-interval 59: 41
Time-interval 60: 38
Time-interval 61: 32
Time-interval 62: 32
Time-interval 63: 27
Time-interval 64: 33
Time-interval 65: 30
Time-interval 66: 29
Time-interval 67: 29
Time-interval 68: 43
Time-interval 69: 38
Time-interval 70: 33
Time-interval 71: 36
Time-interval 72: 38
Time-interval 73: 38
Time-interval 74: 42
Time-interval 75: 49
Time-interval 76: 43
Time-interval 77: 36
Time-interval 78: 42
Time-interval 79: 39
Time-interval 80: 42
Time-interval 81: 36
Time-interval 82: 39
Time-interval 83: 48
Time-interval 84: 32
Time-interval 85: 36
Time-interval 86: 45
Time-interval 87: 48
Time-interval 88: 40
Time-interval 89: 41
Time-interval 90: 40
Time-interval 91: 42
Time-interval 92: 41
Time-interval 93: 48
Time-interval 94: 42
Time-interval 95: 40
Time-interval 96: 46
Time-interval 97: 46
Time-interval 98: 46
Time-interval 99: 45
Time-interval 100: 57
Time-interval 101: 46
Time-interval 102: 34
Time-interval 103: 52
Time-interval 104: 53
Time-interval 105: 58
Time-interval 106: 51
Time-interval 107: 56
Time-interval 108: 56
Time-interval 109: 38
Time-interval 110: 54
Time-interval 111: 54
Time-interval 112: 46
Time-interval 113: 69
Time-interval 114: 42
Time-interval 115: 69
Time-interval 116: 46
Time-interval 117: 54
Time-interval 118: 50
Time-interval 119: 49
Time-interval 120: 44
25510
