-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 2
Execution time: 41 msec
-------------------------------------
Time 1: 3.70630104203186E-10
Time 2: 3.728251989061326E-10
Time 3: 3.7072776741908525E-10
Time 4: 3.7413349992645507E-10
Time 5: 3.7458824913321797E-10
Time 6: 3.7564385321005427E-10
Time 7: 3.7988793592814015E-10
Time 8: 3.840297044660533E-10
Time 9: 3.890088922720162E-10
Time 10: 3.947286817142299E-10
Time 11: 3.933772197054732E-10
Time 12: 3.9863036041194447E-10
Time 13: 3.9529006206827237E-10
Time 14: 3.927610214095672E-10
Time 15: 3.867691172011499E-10
Time 16: 3.793980956477112E-10
Time 17: 3.8345230563743984E-10
Time 18: 3.831342174825715E-10
Time 19: 3.8274677764823435E-10
Time 20: 3.8299669772397874E-10
Time 21: 3.8514162504792744E-10
Time 22: 3.779367431214973E-10
Time 23: 3.808538437320413E-10
Time 24: 3.779703056228934E-10
Time 25: 3.9067423134490963E-10
Time 26: 3.893446808623837E-10
Time 27: 3.88572542546406E-10
Time 28: 3.7687022421188866E-10
Time 29: 3.6967487118691335E-10
Time 30: 3.950340167584277E-10
Time 31: 3.9715652618979377E-10
Time 32: 4.0414524197396266E-10
Time 33: 3.963896404543458E-10
Time 34: 3.9919432515963787E-10
Time 35: 4.0126235820863583E-10
Time 36: 3.970713916530754E-10
Time 37: 3.9907876627619623E-10
Time 38: 3.9506513716828115E-10
Time 39: 3.9516503626858895E-10
Time 40: 3.9491099420914163E-10
Time 41: 3.947728830905089E-10
Time 42: 3.9589211040418273E-10
Time 43: 3.939845532649244E-10
Time 44: 3.998708058171183E-10
Time 45: 4.0189874127412165E-10
Time 46: 4.1066158903326436E-10
Time 47: 4.0970954655113246E-10
Time 48: 4.059923098391421E-10
Time 49: 4.0802217531157265E-10
Time 50: 4.0223700009539525E-10
Time 51: 4.068870681417514E-10
Time 52: 4.036760420132707E-10
Time 53: 4.0279670960933073E-10
Time 54: 3.9648858742813983E-10
Time 55: 3.977152872374804E-10
Time 56: 4.014028801488219E-10
Time 57: 4.025780061333564E-10
Time 58: 4.044605388644892E-10
Time 59: 4.100731741525605E-10
Time 60: 3.947056183916073E-10
Time 61: 4.0464333547704786E-10
Time 62: 4.113729131536542E-10
Time 63: 3.8534440168750996E-10
Time 64: 4.1180147701783873E-10
Time 65: 4.1497015706099177E-10
Time 66: 4.014689422975893E-10
Time 67: 4.172148261487779E-10
Time 68: 4.0896813599906383E-10
Time 69: 4.105016125769189E-10
Time 70: 4.0864319626429807E-10
Time 71: 4.0983294722378916E-10
Time 72: 4.1390472964008985E-10
Time 73: 4.123359417051337E-10
Time 74: 4.1269686688909E-10
Time 75: 4.1574332585774336E-10
Time 76: 3.9912394436793026E-10
Time 77: 4.1973232648775524E-10
Time 78: 4.2214405438001895E-10
Time 79: 4.2355950670204576E-10
Time 80: 4.2552356726604956E-10
Time 81: 4.2538215236388945E-10
Time 82: 4.1804471725074924E-10
Time 83: 4.109685719442816E-10
Time 84: 4.2075496660608346E-10
Time 85: 4.1908694117013524E-10
Time 86: 4.1441961767219916E-10
Time 87: 4.217854369684023E-10
Time 88: 4.1388903677957465E-10
Time 89: 4.126316163093163E-10
Time 90: 4.046611441476411E-10
Time 91: 4.094277443903891E-10
Time 92: 4.2128476190613456E-10
Time 93: 4.256582665481302E-10
Time 94: 4.1093790738781856E-10
Time 95: 4.156402305178322E-10
Time 96: 4.2733530342255635E-10
Time 97: 4.264301812941547E-10
Time 98: 4.314983536789392E-10
Time 99: 4.328732157113081E-10
Time 100: 4.300693344453869E-10
Time 101: 4.326466272568335E-10
Time 102: 4.338521523226904E-10
Time 103: 4.355290860993286E-10
Time 104: 4.2815754864721114E-10
Time 105: 4.365122627160469E-10
Time 106: 4.3534509535053957E-10
Time 107: 4.445882327052753E-10
Time 108: 4.3418313779137604E-10
Time 109: 4.3198104867145464E-10
Time 110: 4.3580508846111946E-10
Time 111: 4.369338956056356E-10
Time 112: 4.384222783866575E-10
Time 113: 4.389279115195655E-10
Time 114: 4.4442236092225326E-10
Time 115: 4.3820544091359104E-10
Time 116: 4.5546940727802063E-10
Time 117: 4.56003155708439E-10
Time 118: 4.434612946645169E-10
Time 119: 4.4323373571745864E-10
Time 120: 4.257330717657869E-10
