-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 1
Execution time: 42 msec
-------------------------------------
Time 1: 3.921014621712046E-10
Time 2: 3.9566514799245214E-10
Time 3: 3.830426688840742E-10
Time 4: 3.9115295519164E-10
Time 5: 3.9746066869303827E-10
Time 6: 3.939787323665019E-10
Time 7: 4.0151155348119015E-10
Time 8: 3.993035104466632E-10
Time 9: 4.015845032177205E-10
Time 10: 3.9874483068774683E-10
Time 11: 4.0069166096403117E-10
Time 12: 3.925325807844734E-10
Time 13: 3.9756875404038693E-10
Time 14: 3.9633586837607825E-10
Time 15: 3.845362733276356E-10
Time 16: 3.9191962447519196E-10
Time 17: 3.8465982076988535E-10
Time 18: 3.8319556744257555E-10
Time 19: 3.8522089602401247E-10
Time 20: 3.8845869360797714E-10
Time 21: 3.93243691796077E-10
Time 22: 3.924318046052866E-10
Time 23: 3.875661134763857E-10
Time 24: 3.8493840909916926E-10
Time 25: 3.847916334968631E-10
Time 26: 3.760094051185242E-10
Time 27: 3.9163916522529733E-10
Time 28: 3.814282209519284E-10
Time 29: 3.9062909501147845E-10
Time 30: 3.923094826305922E-10
Time 31: 3.890627931929673E-10
Time 32: 3.926080062049682E-10
Time 33: 3.848122170907546E-10
Time 34: 3.891471660187264E-10
Time 35: 3.937073778158327E-10
Time 36: 4.0046707045495393E-10
Time 37: 4.0288113181494503E-10
Time 38: 4.050465406266587E-10
Time 39: 3.951772797837736E-10
Time 40: 4.006792857816733E-10
Time 41: 3.9620769694374704E-10
Time 42: 3.96856880567749E-10
Time 43: 4.0262989521850145E-10
Time 44: 4.0157603966261E-10
Time 45: 4.0273924417603184E-10
Time 46: 4.021810222162574E-10
Time 47: 4.0461791826691293E-10
Time 48: 4.0608349802205227E-10
Time 49: 4.1340848892666054E-10
Time 50: 4.118404525008299E-10
Time 51: 4.0554026992628103E-10
Time 52: 4.0227863141003464E-10
Time 53: 4.004006197001838E-10
Time 54: 4.0070403409731176E-10
Time 55: 4.0459793549730805E-10
Time 56: 4.057790484555394E-10
Time 57: 4.099129225071928E-10
Time 58: 4.095995919444797E-10
Time 59: 4.043131616670895E-10
Time 60: 4.023722898096197E-10
Time 61: 4.058012362531934E-10
Time 62: 4.055188718628741E-10
Time 63: 4.11280969607873E-10
Time 64: 4.0845200589975817E-10
Time 65: 4.0257563323932483E-10
Time 66: 4.004794783808368E-10
Time 67: 4.072124306265884E-10
Time 68: 4.1015128768844185E-10
Time 69: 4.0779215173668333E-10
Time 70: 4.1326056260315315E-10
Time 71: 4.114565626049384E-10
Time 72: 4.1184222642712384E-10
Time 73: 4.0809329993789797E-10
Time 74: 4.0795318734133575E-10
Time 75: 4.112004408197896E-10
Time 76: 4.1565740072264777E-10
Time 77: 4.0000624681377053E-10
Time 78: 4.1543124502636596E-10
Time 79: 4.1210654061252257E-10
Time 80: 4.161219110617179E-10
Time 81: 4.184819107779057E-10
Time 82: 4.156031948164177E-10
Time 83: 4.1974865359255615E-10
Time 84: 4.2182772800782085E-10
Time 85: 4.19644474335385E-10
Time 86: 4.233052274690009E-10
Time 87: 4.2279998683484424E-10
Time 88: 4.296465821633093E-10
Time 89: 4.4073608187739417E-10
Time 90: 4.27139698253014E-10
Time 91: 4.3139563030188655E-10
Time 92: 4.2695175619769613E-10
Time 93: 4.1884335917009476E-10
Time 94: 4.352201058198464E-10
Time 95: 4.2991668455395414E-10
Time 96: 4.289826004573575E-10
Time 97: 4.3851053881681827E-10
Time 98: 4.3485751534709246E-10
Time 99: 4.2624161101470867E-10
Time 100: 4.4482103894500113E-10
Time 101: 4.4441887348054615E-10
Time 102: 4.4407178392945524E-10
Time 103: 4.4526390673099904E-10
Time 104: 4.450869015281899E-10
Time 105: 4.417939629042242E-10
Time 106: 4.408092716969397E-10
Time 107: 4.408299898095374E-10
Time 108: 4.353279254129609E-10
Time 109: 4.31050965171066E-10
Time 110: 4.357621154604596E-10
Time 111: 4.354626714476847E-10
Time 112: 4.239120518514861E-10
Time 113: 4.399241599413904E-10
Time 114: 4.4623710921785886E-10
Time 115: 4.199659480807041E-10
Time 116: 4.3957853384240125E-10
Time 117: 4.3965298635781577E-10
Time 118: 4.298316128226309E-10
Time 119: 4.2368441667504064E-10
Time 120: 4.424619266485341E-10
