-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Evening
Iteration: 1
Look-ahead time: 60.0 sec
Execution time: -18024 msec
-------------------------------------
Time-interval 1: 7
Time-interval 2: 4
Time-interval 3: 9
Time-interval 4: 7
Time-interval 5: 6
Time-interval 6: 7
Time-interval 7: 7
Time-interval 8: 4
Time-interval 9: 3
Time-interval 10: 10
Time-interval 11: 5
Time-interval 12: 10
Time-interval 13: 5
Time-interval 14: 12
Time-interval 15: 9
Time-interval 16: 3
Time-interval 17: 8
Time-interval 18: 6
Time-interval 19: 8
Time-interval 20: 7
Time-interval 21: 6
Time-interval 22: 7
Time-interval 23: 2
Time-interval 24: 8
Time-interval 25: 7
Time-interval 26: 9
Time-interval 27: 6
Time-interval 28: 9
Time-interval 29: 8
Time-interval 30: 9
Time-interval 31: 13
Time-interval 32: 10
Time-interval 33: 9
Time-interval 34: 15
Time-interval 35: 13
Time-interval 36: 13
Time-interval 37: 9
Time-interval 38: 13
Time-interval 39: 6
Time-interval 40: 10
Time-interval 41: 7
Time-interval 42: 10
Time-interval 43: 12
Time-interval 44: 8
Time-interval 45: 11
Time-interval 46: 2
Time-interval 47: 10
Time-interval 48: 10
Time-interval 49: 7
Time-interval 50: 13
Time-interval 51: 7
Time-interval 52: 10
Time-interval 53: 7
Time-interval 54: 5
Time-interval 55: 9
Time-interval 56: 6
Time-interval 57: 8
Time-interval 58: 17
Time-interval 59: 5
Time-interval 60: 9
Time-interval 61: 9
Time-interval 62: 9
Time-interval 63: 9
Time-interval 64: 19
Time-interval 65: 6
Time-interval 66: 12
Time-interval 67: 10
Time-interval 68: 15
Time-interval 69: 12
Time-interval 70: 11
Time-interval 71: 7
Time-interval 72: 11
Time-interval 73: 14
Time-interval 74: 12
Time-interval 75: 13
Time-interval 76: 17
Time-interval 77: 14
Time-interval 78: 14
Time-interval 79: 20
Time-interval 80: 22
Time-interval 81: 19
Time-interval 82: 12
Time-interval 83: 15
Time-interval 84: 14
Time-interval 85: 14
Time-interval 86: 7
Time-interval 87: 12
Time-interval 88: 5
Time-interval 89: 11
Time-interval 90: 13
Time-interval 91: 12
Time-interval 92: 8
Time-interval 93: 29
Time-interval 94: 10
Time-interval 95: 15
Time-interval 96: 19
Time-interval 97: 11
Time-interval 98: 17
Time-interval 99: 15
Time-interval 100: 22
Time-interval 101: 28
Time-interval 102: 21
Time-interval 103: 19
Time-interval 104: 15
Time-interval 105: 21
Time-interval 106: 18
Time-interval 107: 22
Time-interval 108: 18
Time-interval 109: 23
Time-interval 110: 25
Time-interval 111: 17
Time-interval 112: 19
Time-interval 113: 18
Time-interval 114: 17
Time-interval 115: 21
Time-interval 116: 18
Time-interval 117: 26
Time-interval 118: 25
Time-interval 119: 25
Time-interval 120: 24
21783
