-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Evening
Iteration: 1
Execution time: 32 msec
-------------------------------------
Time 1: 3.2188190210644217E-10
Time 2: 3.0559104915333034E-10
Time 3: 3.16460610125772E-10
Time 4: 3.3924304813503146E-10
Time 5: 3.2556704095575627E-10
Time 6: 3.2850970956715245E-10
Time 7: 3.3157108958426184E-10
Time 8: 3.310101852082295E-10
Time 9: 3.338448807649086E-10
Time 10: 3.27374401079649E-10
Time 11: 3.3580217891840723E-10
Time 12: 3.3616853355807833E-10
Time 13: 3.3131919152954707E-10
Time 14: 3.127447173402159E-10
Time 15: 3.3055277351408337E-10
Time 16: 3.190374671254567E-10
Time 17: 3.2828801327707445E-10
Time 18: 3.1003790459072284E-10
Time 19: 3.316118795660666E-10
Time 20: 3.4031529263144664E-10
Time 21: 3.395181739453534E-10
Time 22: 3.2915284488723585E-10
Time 23: 3.4913705859578867E-10
Time 24: 3.542383025628986E-10
Time 25: 3.477082522797454E-10
Time 26: 3.419194875399682E-10
Time 27: 3.5081211320036033E-10
Time 28: 3.483870331971129E-10
Time 29: 3.605092662109505E-10
Time 30: 3.4412069811832304E-10
Time 31: 3.534014945087536E-10
Time 32: 3.4059002983138325E-10
Time 33: 3.4302548893253544E-10
Time 34: 3.3883443122587654E-10
Time 35: 3.3937620197378906E-10
Time 36: 3.457627550173063E-10
Time 37: 3.4347510241860645E-10
Time 38: 3.419817705241346E-10
Time 39: 3.2919784150341147E-10
Time 40: 3.3346133046913097E-10
Time 41: 3.3220719748624353E-10
Time 42: 3.4869694622402484E-10
Time 43: 3.3545295786852055E-10
Time 44: 3.516654670566143E-10
Time 45: 3.4815614134067524E-10
Time 46: 3.4016461447178244E-10
Time 47: 3.591410465323101E-10
Time 48: 3.497854333741058E-10
Time 49: 3.395861604364351E-10
Time 50: 3.486212719427547E-10
Time 51: 3.5452281060778847E-10
Time 52: 3.478896678546662E-10
Time 53: 3.362298323110164E-10
Time 54: 3.3923199204047776E-10
Time 55: 3.4848716017372914E-10
Time 56: 3.4732169399206114E-10
Time 57: 3.423285807276008E-10
Time 58: 3.445774741682048E-10
Time 59: 3.3915046650035753E-10
Time 60: 3.42858334261499E-10
Time 61: 3.3811867509240363E-10
Time 62: 3.441047452772909E-10
Time 63: 3.487180984418428E-10
Time 64: 3.389871035405969E-10
Time 65: 3.4230530886023685E-10
Time 66: 3.4385965813843605E-10
Time 67: 3.4253008429352657E-10
Time 68: 3.5074466619448475E-10
Time 69: 3.5579173291717095E-10
Time 70: 3.5391711101415414E-10
Time 71: 3.580395849786312E-10
Time 72: 3.5419296707750724E-10
Time 73: 3.5265109221178605E-10
Time 74: 3.570662265137216E-10
Time 75: 3.5180134907826316E-10
Time 76: 3.5425768380835896E-10
Time 77: 3.587410872895334E-10
Time 78: 3.5166670673010216E-10
Time 79: 3.528334550640585E-10
Time 80: 3.5676160352475257E-10
Time 81: 3.6054410301201384E-10
Time 82: 3.6163445127651706E-10
Time 83: 3.6007164950737935E-10
Time 84: 3.6196535814285255E-10
Time 85: 3.464721591468588E-10
Time 86: 3.5252866242899907E-10
Time 87: 3.396815820210188E-10
Time 88: 3.5762834262118335E-10
Time 89: 3.5694610122935566E-10
Time 90: 3.4326699148365966E-10
Time 91: 3.5109818498268167E-10
Time 92: 3.472497658938628E-10
Time 93: 3.4580007855878164E-10
Time 94: 3.697340868353869E-10
Time 95: 3.4955517893617854E-10
Time 96: 3.63623421953241E-10
Time 97: 3.378209951547297E-10
Time 98: 3.549493519757861E-10
Time 99: 3.710763367046331E-10
Time 100: 3.546385480002374E-10
Time 101: 3.7029930475806736E-10
Time 102: 3.4180095490491074E-10
Time 103: 3.577026196976086E-10
Time 104: 3.693947454880646E-10
Time 105: 3.533650459277818E-10
Time 106: 3.826699274895778E-10
Time 107: 3.8198721950047283E-10
Time 108: 3.5909774606638787E-10
Time 109: 3.695817615035663E-10
Time 110: 3.6764507809826594E-10
Time 111: 3.6396118744911445E-10
Time 112: 3.632580274498675E-10
Time 113: 3.728045115644005E-10
Time 114: 3.731129697882903E-10
Time 115: 3.634698146341821E-10
Time 116: 3.766048207640527E-10
Time 117: 3.6192175791150927E-10
Time 118: 3.7659178290335335E-10
Time 119: 3.821148995040217E-10
Time 120: 3.9012714091264104E-10
