-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Lunch
Iteration: 2
Execution time: 46 msec
-------------------------------------
Time 1: 2.6185927978620153E-10
Time 2: 2.800818163106171E-10
Time 3: 2.819146905565486E-10
Time 4: 2.747939941461315E-10
Time 5: 2.818631606807294E-10
Time 6: 2.844983572871465E-10
Time 7: 2.8402181593505927E-10
Time 8: 2.831748479369722E-10
Time 9: 2.839509688387797E-10
Time 10: 2.870644005611017E-10
Time 11: 2.8833169822385334E-10
Time 12: 2.856961333896467E-10
Time 13: 2.8084767196538235E-10
Time 14: 2.7749946225000343E-10
Time 15: 2.568091233344635E-10
Time 16: 2.555326930446949E-10
Time 17: 2.593827589363635E-10
Time 18: 2.7246365972238286E-10
Time 19: 2.672689715154241E-10
Time 20: 2.75240892482403E-10
Time 21: 2.7964004256044515E-10
Time 22: 2.7930876250675125E-10
Time 23: 2.8624519875046664E-10
Time 24: 2.7598073344625416E-10
Time 25: 2.8424997203995157E-10
Time 26: 2.79177856343974E-10
Time 27: 2.880770543844419E-10
Time 28: 2.913252358191462E-10
Time 29: 2.797853003404569E-10
Time 30: 2.73449516762342E-10
Time 31: 2.8775961451222E-10
Time 32: 2.829345750341833E-10
Time 33: 2.8322049049993767E-10
Time 34: 2.8596529592120585E-10
Time 35: 2.822801954253257E-10
Time 36: 2.8073985338783267E-10
Time 37: 2.774065422118823E-10
Time 38: 2.8414403620135793E-10
Time 39: 2.946738622133481E-10
Time 40: 2.9452548962875445E-10
Time 41: 3.0675777000537174E-10
Time 42: 3.1426750267653744E-10
Time 43: 3.087981546815065E-10
Time 44: 3.035360970991681E-10
Time 45: 2.984754488885896E-10
Time 46: 3.116342762014303E-10
Time 47: 2.904852671659883E-10
Time 48: 2.808811241764187E-10
Time 49: 2.9352211107936175E-10
Time 50: 2.9567993147161367E-10
Time 51: 2.9715159365819954E-10
Time 52: 2.9544087005644036E-10
Time 53: 2.8228651886081815E-10
Time 54: 2.8261739970414515E-10
Time 55: 2.8536808208655244E-10
Time 56: 2.7740303590582545E-10
Time 57: 2.805481183972095E-10
Time 58: 2.9061904331306576E-10
Time 59: 2.938386647804105E-10
Time 60: 2.9974925468498565E-10
Time 61: 3.0416408462102913E-10
Time 62: 2.886684866382986E-10
Time 63: 2.8921312628229987E-10
Time 64: 2.9177032036736983E-10
Time 65: 2.972197355825799E-10
Time 66: 2.945928915258651E-10
Time 67: 2.981230414537783E-10
Time 68: 2.982222964928138E-10
Time 69: 2.961101105990889E-10
Time 70: 2.9264211281073173E-10
Time 71: 2.9449215763805063E-10
Time 72: 3.0318633471107695E-10
Time 73: 3.0083839404898063E-10
Time 74: 2.9954863596797294E-10
Time 75: 3.0414369178931935E-10
Time 76: 3.027076233933038E-10
Time 77: 2.8216181112648995E-10
Time 78: 2.8744971007343174E-10
Time 79: 2.7066966531260584E-10
Time 80: 2.842182241868329E-10
Time 81: 2.8904534446571287E-10
Time 82: 2.9014062546545203E-10
Time 83: 2.9805746722973677E-10
Time 84: 2.9080461154370636E-10
Time 85: 2.895341957269165E-10
Time 86: 2.9366846100136106E-10
Time 87: 2.9127337520046935E-10
Time 88: 2.925079720672095E-10
Time 89: 2.9730384136689977E-10
Time 90: 2.902660092483649E-10
Time 91: 3.0122372142147214E-10
Time 92: 2.8565453702720046E-10
Time 93: 2.9162405184603425E-10
Time 94: 2.954816147794113E-10
Time 95: 2.808605622315608E-10
Time 96: 2.817278823998165E-10
Time 97: 2.8551849378673395E-10
Time 98: 2.796403272110584E-10
Time 99: 2.8388072802336347E-10
Time 100: 2.9154042013616113E-10
Time 101: 2.8535811403292636E-10
Time 102: 2.7818342475398384E-10
Time 103: 2.9425732369235835E-10
Time 104: 3.0305390583830245E-10
Time 105: 2.9792504311055356E-10
Time 106: 3.0426270939186624E-10
Time 107: 3.0175945297610246E-10
Time 108: 3.0009109268034916E-10
Time 109: 3.022228094301924E-10
Time 110: 2.99526036617915E-10
Time 111: 3.0216567019874756E-10
Time 112: 2.9334984971191804E-10
Time 113: 2.9701533131957895E-10
Time 114: 2.9410302619256757E-10
Time 115: 2.9665750356889217E-10
Time 116: 2.996910661035798E-10
Time 117: 2.9474377011898957E-10
Time 118: 3.004377434573679E-10
Time 119: 3.0395390325870276E-10
Time 120: 3.0859814335470453E-10
