-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Morning
Iteration: 1
Look-ahead time: 45.0 sec
Execution time: -16244 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 3
Time-interval 3: 3
Time-interval 4: 3
Time-interval 5: 6
Time-interval 6: 8
Time-interval 7: 5
Time-interval 8: 3
Time-interval 9: 4
Time-interval 10: 3
Time-interval 11: 3
Time-interval 12: 2
Time-interval 13: 2
Time-interval 14: 2
Time-interval 15: 2
Time-interval 16: 2
Time-interval 17: 8
Time-interval 18: 5
Time-interval 19: 6
Time-interval 20: 3
Time-interval 21: 5
Time-interval 22: 2
Time-interval 23: 8
Time-interval 24: 5
Time-interval 25: 0
Time-interval 26: 5
Time-interval 27: 6
Time-interval 28: 3
Time-interval 29: 7
Time-interval 30: 2
Time-interval 31: 3
Time-interval 32: 3
Time-interval 33: 7
Time-interval 34: 3
Time-interval 35: 3
Time-interval 36: 4
Time-interval 37: 4
Time-interval 38: 4
Time-interval 39: 6
Time-interval 40: 4
Time-interval 41: 3
Time-interval 42: 2
Time-interval 43: 1
Time-interval 44: 5
Time-interval 45: 5
Time-interval 46: 6
Time-interval 47: 7
Time-interval 48: 3
Time-interval 49: 4
Time-interval 50: 8
Time-interval 51: 5
Time-interval 52: 4
Time-interval 53: 8
Time-interval 54: 6
Time-interval 55: 7
Time-interval 56: 5
Time-interval 57: 6
Time-interval 58: 10
Time-interval 59: 4
Time-interval 60: 7
Time-interval 61: 3
Time-interval 62: 4
Time-interval 63: 7
Time-interval 64: 9
Time-interval 65: 9
Time-interval 66: 3
Time-interval 67: 3
Time-interval 68: 4
Time-interval 69: 1
Time-interval 70: 6
Time-interval 71: 4
Time-interval 72: 6
Time-interval 73: 7
Time-interval 74: 6
Time-interval 75: 7
Time-interval 76: 5
Time-interval 77: 5
Time-interval 78: 3
Time-interval 79: 6
Time-interval 80: 3
Time-interval 81: 8
Time-interval 82: 4
Time-interval 83: 5
Time-interval 84: 6
Time-interval 85: 8
Time-interval 86: 5
Time-interval 87: 8
Time-interval 88: 6
Time-interval 89: 9
Time-interval 90: 6
Time-interval 91: 6
Time-interval 92: 6
Time-interval 93: 6
Time-interval 94: 8
Time-interval 95: 2
Time-interval 96: 7
Time-interval 97: 3
Time-interval 98: 7
Time-interval 99: 5
Time-interval 100: 9
Time-interval 101: 4
Time-interval 102: 4
Time-interval 103: 4
Time-interval 104: 9
Time-interval 105: 4
Time-interval 106: 7
Time-interval 107: 4
Time-interval 108: 15
Time-interval 109: 9
Time-interval 110: 6
Time-interval 111: 12
Time-interval 112: 3
Time-interval 113: 10
Time-interval 114: 7
Time-interval 115: 2
Time-interval 116: 8
Time-interval 117: 10
Time-interval 118: 5
Time-interval 119: 0
Time-interval 120: 5
21315
