-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Morning
Iteration: 2
Execution time: 32 msec
-------------------------------------
Time 1: 3.397335317714431E-10
Time 2: 3.4010172379929055E-10
Time 3: 3.3312638064402946E-10
Time 4: 3.3015480678412714E-10
Time 5: 3.439254072613142E-10
Time 6: 3.3167366608647055E-10
Time 7: 3.2488438181422886E-10
Time 8: 3.241114646545734E-10
Time 9: 3.3226699881193435E-10
Time 10: 3.252907679371912E-10
Time 11: 3.3320341282874044E-10
Time 12: 3.4375483405399733E-10
Time 13: 3.284729210334681E-10
Time 14: 3.3375000918047164E-10
Time 15: 3.355204597492945E-10
Time 16: 3.3485153131173534E-10
Time 17: 3.37070613121043E-10
Time 18: 3.3612917049758727E-10
Time 19: 3.3528247533925217E-10
Time 20: 3.431108439623324E-10
Time 21: 3.378588640504656E-10
Time 22: 3.3893275535618625E-10
Time 23: 3.365549023523593E-10
Time 24: 3.3815833174056886E-10
Time 25: 3.1247659428621114E-10
Time 26: 3.320244899350026E-10
Time 27: 3.332670649714848E-10
Time 28: 3.3455673066402057E-10
Time 29: 3.3498720695702915E-10
Time 30: 3.3986555357756133E-10
Time 31: 3.3937175590051183E-10
Time 32: 3.209462721278348E-10
Time 33: 3.4602060933288725E-10
Time 34: 3.4352018722835086E-10
Time 35: 3.371548918475867E-10
Time 36: 3.515895395732334E-10
Time 37: 3.4878465403582097E-10
Time 38: 3.480229392806943E-10
Time 39: 3.4454591309058416E-10
Time 40: 3.421691332028096E-10
Time 41: 3.3105673334611764E-10
Time 42: 3.386578322081379E-10
Time 43: 3.437919210366125E-10
Time 44: 3.4190512272484873E-10
Time 45: 3.415552907316732E-10
Time 46: 3.4135052867195863E-10
Time 47: 3.37457444123843E-10
Time 48: 3.407961389426263E-10
Time 49: 3.2536190222217774E-10
Time 50: 3.441369496669511E-10
Time 51: 3.490388353387593E-10
Time 52: 3.4763899429516376E-10
Time 53: 3.439365736872956E-10
Time 54: 3.3999158404126227E-10
Time 55: 3.4148554564782597E-10
Time 56: 3.369467407360436E-10
Time 57: 3.3757408065499747E-10
Time 58: 3.3890760427283897E-10
Time 59: 3.3539282214389143E-10
Time 60: 3.449019669388707E-10
Time 61: 3.447091097507823E-10
Time 62: 3.443604882019316E-10
Time 63: 3.437110902690165E-10
Time 64: 3.5333974882132663E-10
Time 65: 3.453562917989314E-10
Time 66: 3.380772832121288E-10
Time 67: 3.5520405433117473E-10
Time 68: 3.498988258523394E-10
Time 69: 3.56734051839195E-10
Time 70: 3.476892216337701E-10
Time 71: 3.5241996436754304E-10
Time 72: 3.477428982537384E-10
Time 73: 3.4296962696179783E-10
Time 74: 3.441893688194846E-10
Time 75: 3.4607086574100944E-10
Time 76: 3.467334098876472E-10
Time 77: 3.430415014254392E-10
Time 78: 3.5683547385594824E-10
Time 79: 3.506099181969756E-10
Time 80: 3.5160954029061466E-10
Time 81: 3.393319158380844E-10
Time 82: 3.4238145498172813E-10
Time 83: 3.522746879865573E-10
Time 84: 3.3949443651306564E-10
Time 85: 3.3269119767963496E-10
Time 86: 3.455052259060917E-10
Time 87: 3.5411410195709325E-10
Time 88: 3.3516575070233934E-10
Time 89: 3.509547524079797E-10
Time 90: 3.399058393276256E-10
Time 91: 3.5167158016502247E-10
Time 92: 3.5828495238152226E-10
Time 93: 3.5494927707432224E-10
Time 94: 3.399160214564767E-10
Time 95: 3.5975747284299273E-10
Time 96: 3.5728520830405995E-10
Time 97: 3.5142984328660634E-10
Time 98: 3.547979386408802E-10
Time 99: 3.5500833341277666E-10
Time 100: 3.4762539104083703E-10
Time 101: 3.3197866384620027E-10
Time 102: 3.420999561445103E-10
Time 103: 3.4472126721278354E-10
Time 104: 3.444758106755382E-10
Time 105: 3.4262939576987166E-10
Time 106: 3.436434610197217E-10
Time 107: 3.4175967869133486E-10
Time 108: 3.350833457038409E-10
Time 109: 3.46394584151329E-10
Time 110: 3.4566057903250094E-10
Time 111: 3.2884965154202524E-10
Time 112: 3.3858006410763286E-10
Time 113: 3.3435955811565297E-10
Time 114: 3.445600838624405E-10
Time 115: 3.4872972321597285E-10
Time 116: 3.507186702423724E-10
Time 117: 3.4547350935350347E-10
Time 118: 3.519374843783144E-10
Time 119: 3.52166173729291E-10
Time 120: 3.505517244165364E-10
