-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Evening
Iteration: 2
Look-ahead time: 45.0 sec
Execution time: -5869 msec
-------------------------------------
Time-interval 1: 0
Time-interval 2: 1
Time-interval 3: 0
Time-interval 4: 2
Time-interval 5: 3
Time-interval 6: 0
Time-interval 7: 1
Time-interval 8: 1
Time-interval 9: 2
Time-interval 10: 1
Time-interval 11: 4
Time-interval 12: 1
Time-interval 13: 1
Time-interval 14: 3
Time-interval 15: 1
Time-interval 16: 0
Time-interval 17: 3
Time-interval 18: 2
Time-interval 19: 2
Time-interval 20: 4
Time-interval 21: 2
Time-interval 22: 2
Time-interval 23: 2
Time-interval 24: 3
Time-interval 25: 2
Time-interval 26: 1
Time-interval 27: 1
Time-interval 28: 0
Time-interval 29: 0
Time-interval 30: 2
Time-interval 31: 2
Time-interval 32: 1
Time-interval 33: 0
Time-interval 34: 1
Time-interval 35: 0
Time-interval 36: 2
Time-interval 37: 0
Time-interval 38: 3
Time-interval 39: 1
Time-interval 40: 0
Time-interval 41: 2
Time-interval 42: 3
Time-interval 43: 2
Time-interval 44: 1
Time-interval 45: 0
Time-interval 46: 0
Time-interval 47: 0
Time-interval 48: 2
Time-interval 49: 3
Time-interval 50: 2
Time-interval 51: 2
Time-interval 52: 1
Time-interval 53: 3
Time-interval 54: 1
Time-interval 55: 2
Time-interval 56: 0
Time-interval 57: 2
Time-interval 58: 0
Time-interval 59: 3
Time-interval 60: 3
Time-interval 61: 2
Time-interval 62: 3
Time-interval 63: 2
Time-interval 64: 0
Time-interval 65: 2
Time-interval 66: 1
Time-interval 67: 1
Time-interval 68: 1
Time-interval 69: 0
Time-interval 70: 1
Time-interval 71: 2
Time-interval 72: 1
Time-interval 73: 0
Time-interval 74: 0
Time-interval 75: 3
Time-interval 76: 2
Time-interval 77: 4
Time-interval 78: 3
Time-interval 79: 3
Time-interval 80: 3
Time-interval 81: 1
Time-interval 82: 1
Time-interval 83: 3
Time-interval 84: 1
Time-interval 85: 3
Time-interval 86: 1
Time-interval 87: 1
Time-interval 88: 2
Time-interval 89: 2
Time-interval 90: 1
Time-interval 91: 0
Time-interval 92: 0
Time-interval 93: 1
Time-interval 94: 3
Time-interval 95: 2
Time-interval 96: 1
Time-interval 97: 0
Time-interval 98: 1
Time-interval 99: 1
Time-interval 100: 1
Time-interval 101: 1
Time-interval 102: 2
Time-interval 103: 2
Time-interval 104: 0
Time-interval 105: 1
Time-interval 106: 3
Time-interval 107: 2
Time-interval 108: 1
Time-interval 109: 0
Time-interval 110: 2
Time-interval 111: 1
Time-interval 112: 1
Time-interval 113: 1
Time-interval 114: 2
Time-interval 115: 1
Time-interval 116: 0
Time-interval 117: 0
Time-interval 118: 1
Time-interval 119: 0
Time-interval 120: 1
