-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Evening
Iteration: 2
Execution time: 25 msec
-------------------------------------
Time 1: 1.5951264583264667E-10
Time 2: 1.627684150016084E-10
Time 3: 1.6065439340876914E-10
Time 4: 1.6829941371719976E-10
Time 5: 1.7564971301769152E-10
Time 6: 1.7933630243464874E-10
Time 7: 1.7411479474114348E-10
Time 8: 1.8292654235050151E-10
Time 9: 1.885280881651381E-10
Time 10: 1.8876505331723642E-10
Time 11: 1.933694550098147E-10
Time 12: 1.9025635169193712E-10
Time 13: 1.972114718821436E-10
Time 14: 1.9727919685644424E-10
Time 15: 1.9759651185592664E-10
Time 16: 1.9515533131690137E-10
Time 17: 1.8400998442414517E-10
Time 18: 1.8937159449319966E-10
Time 19: 1.894563511660793E-10
Time 20: 1.9213348679561462E-10
Time 21: 1.7866178536512564E-10
Time 22: 1.776657600796031E-10
Time 23: 1.7544667822627583E-10
Time 24: 1.6549938470076795E-10
Time 25: 1.7133060952520005E-10
Time 26: 1.7277771235960144E-10
Time 27: 1.6661016465193027E-10
Time 28: 1.6394650828292323E-10
Time 29: 1.7052575155796244E-10
Time 30: 1.6234828265378398E-10
Time 31: 1.685144896333944E-10
Time 32: 1.6339250914434525E-10
Time 33: 1.609328008321955E-10
Time 34: 1.6106591944438213E-10
Time 35: 1.6695279355853621E-10
Time 36: 1.563113818003581E-10
Time 37: 1.611810840805621E-10
Time 38: 1.6621024022306822E-10
Time 39: 1.6622894615359907E-10
Time 40: 1.6861238535518872E-10
Time 41: 1.7137079755398117E-10
Time 42: 1.7026203435710133E-10
Time 43: 1.7550398958261524E-10
Time 44: 1.7901308452423288E-10
Time 45: 1.7318217683848203E-10
Time 46: 1.8064862167394253E-10
Time 47: 1.761994683019852E-10
Time 48: 1.7396458143251265E-10
Time 49: 1.7889784903160444E-10
Time 50: 1.7894815067950878E-10
Time 51: 1.7924142916822497E-10
Time 52: 1.7947971931140203E-10
Time 53: 1.7245017697104398E-10
Time 54: 1.7177498750293115E-10
Time 55: 1.6921731952211443E-10
Time 56: 1.7486206062774804E-10
Time 57: 1.7958889272752614E-10
Time 58: 1.7507729803562962E-10
Time 59: 1.6763829128958177E-10
Time 60: 1.7328245602179486E-10
Time 61: 1.764098144618609E-10
Time 62: 1.7754805780914663E-10
Time 63: 1.818542761021736E-10
Time 64: 1.7905235418092598E-10
Time 65: 1.8220183044960362E-10
Time 66: 1.8651255760435628E-10
Time 67: 1.7500666266154338E-10
Time 68: 1.8142451353856995E-10
Time 69: 1.866904156851461E-10
Time 70: 1.8061723486258786E-10
Time 71: 1.8487763575222533E-10
Time 72: 1.8017125682773814E-10
Time 73: 1.7417208908304856E-10
Time 74: 1.7229835571796362E-10
Time 75: 1.658045702005431E-10
Time 76: 1.723455509812542E-10
Time 77: 1.7365459471577716E-10
Time 78: 1.7446981169690168E-10
Time 79: 1.7380931668982956E-10
Time 80: 1.6617945595658295E-10
Time 81: 1.6732671311720843E-10
Time 82: 1.7377367477529837E-10
Time 83: 1.7479894736046145E-10
Time 84: 1.7425026167224015E-10
Time 85: 1.711771421423214E-10
Time 86: 1.7014122537948645E-10
Time 87: 1.6938931238957098E-10
Time 88: 1.7207194639319452E-10
Time 89: 1.7059985063793853E-10
Time 90: 1.6851043978231002E-10
Time 91: 1.7627361388206246E-10
Time 92: 1.7845104929463007E-10
Time 93: 1.804861420290613E-10
Time 94: 1.821532107849829E-10
Time 95: 1.8868946938854498E-10
Time 96: 1.930010164712239E-10
Time 97: 1.941416018153257E-10
Time 98: 1.9190182346030458E-10
Time 99: 1.905819073736953E-10
Time 100: 1.831856511521583E-10
Time 101: 1.9170055906892794E-10
Time 102: 1.8736714847970194E-10
Time 103: 1.8646259486901202E-10
Time 104: 1.8355791896504498E-10
Time 105: 1.7396931847264428E-10
Time 106: 1.877028990053636E-10
Time 107: 1.8362733032943968E-10
Time 108: 1.7529735965048877E-10
Time 109: 1.808850038868509E-10
Time 110: 1.7474254315235864E-10
Time 111: 1.7908434449003652E-10
Time 112: 1.8942654990343615E-10
Time 113: 1.8003794317482342E-10
Time 114: 1.6528668184948427E-10
Time 115: 1.6747194400635166E-10
Time 116: 1.6630695812829934E-10
Time 117: 1.6762053364974893E-10
Time 118: 1.6768509578889056E-10
Time 119: 1.7038018448856093E-10
Time 120: 1.677470827017419E-10
