-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Lunch
Iteration: 2
Look-ahead time: 15.0 sec
Execution time: -5808 msec
-------------------------------------
Time-interval 1: 5
Time-interval 2: 3
Time-interval 3: 5
Time-interval 4: 2
Time-interval 5: 3
Time-interval 6: 6
Time-interval 7: 3
Time-interval 8: 4
Time-interval 9: 4
Time-interval 10: 6
Time-interval 11: 3
Time-interval 12: 6
Time-interval 13: 6
Time-interval 14: 2
Time-interval 15: 6
Time-interval 16: 5
Time-interval 17: 2
Time-interval 18: 5
Time-interval 19: 3
Time-interval 20: 3
Time-interval 21: 2
Time-interval 22: 3
Time-interval 23: 2
Time-interval 24: 4
Time-interval 25: 2
Time-interval 26: 2
Time-interval 27: 4
Time-interval 28: 2
Time-interval 29: 4
Time-interval 30: 8
Time-interval 31: 3
Time-interval 32: 6
Time-interval 33: 8
Time-interval 34: 3
Time-interval 35: 11
Time-interval 36: 8
Time-interval 37: 2
Time-interval 38: 12
Time-interval 39: 5
Time-interval 40: 7
Time-interval 41: 6
Time-interval 42: 4
Time-interval 43: 8
Time-interval 44: 4
Time-interval 45: 5
Time-interval 46: 9
Time-interval 47: 5
Time-interval 48: 2
Time-interval 49: 7
Time-interval 50: 7
Time-interval 51: 7
Time-interval 52: 6
Time-interval 53: 6
Time-interval 54: 6
Time-interval 55: 9
Time-interval 56: 7
Time-interval 57: 9
Time-interval 58: 6
Time-interval 59: 5
Time-interval 60: 3
Time-interval 61: 2
Time-interval 62: 7
Time-interval 63: 8
Time-interval 64: 4
Time-interval 65: 6
Time-interval 66: 8
Time-interval 67: 2
Time-interval 68: 1
Time-interval 69: 6
Time-interval 70: 2
Time-interval 71: 5
Time-interval 72: 5
Time-interval 73: 3
Time-interval 74: 4
Time-interval 75: 3
Time-interval 76: 8
Time-interval 77: 4
Time-interval 78: 8
Time-interval 79: 5
Time-interval 80: 7
Time-interval 81: 3
Time-interval 82: 5
Time-interval 83: 4
Time-interval 84: 4
Time-interval 85: 4
Time-interval 86: 2
Time-interval 87: 9
Time-interval 88: 5
Time-interval 89: 9
Time-interval 90: 7
Time-interval 91: 10
Time-interval 92: 5
Time-interval 93: 3
Time-interval 94: 4
Time-interval 95: 2
Time-interval 96: 12
Time-interval 97: 8
Time-interval 98: 8
Time-interval 99: 4
Time-interval 100: 7
Time-interval 101: 8
Time-interval 102: 6
Time-interval 103: 9
Time-interval 104: 3
Time-interval 105: 5
Time-interval 106: 11
Time-interval 107: 8
Time-interval 108: 9
Time-interval 109: 7
Time-interval 110: 9
Time-interval 111: 3
Time-interval 112: 2
Time-interval 113: 6
Time-interval 114: 11
Time-interval 115: 4
Time-interval 116: 7
Time-interval 117: 2
Time-interval 118: 4
Time-interval 119: 6
Time-interval 120: 0
13864
