-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Lunch
Iteration: 1
Execution time: 36 msec
-------------------------------------
Time 1: 1.9190392424301043E-10
Time 2: 1.827463351774386E-10
Time 3: 1.9153361762655858E-10
Time 4: 1.87422785280653E-10
Time 5: 1.8975836921387908E-10
Time 6: 1.8455357244287278E-10
Time 7: 1.8720864747502188E-10
Time 8: 1.7616441259193164E-10
Time 9: 1.6291810677608951E-10
Time 10: 1.828383993990457E-10
Time 11: 1.7811067228448625E-10
Time 12: 1.7540747485829278E-10
Time 13: 1.6861337208484907E-10
Time 14: 1.7923921686715877E-10
Time 15: 1.7806335510776295E-10
Time 16: 1.768001686817035E-10
Time 17: 1.7585069566224906E-10
Time 18: 1.8177176770864982E-10
Time 19: 1.6818907035365475E-10
Time 20: 1.6879449956901802E-10
Time 21: 1.701922609417837E-10
Time 22: 1.8168382593083864E-10
Time 23: 1.7988263348105592E-10
Time 24: 1.849672727504065E-10
Time 25: 1.843487475193264E-10
Time 26: 1.9382817003622075E-10
Time 27: 1.8719145440337121E-10
Time 28: 1.9638064082306348E-10
Time 29: 1.9762132020621995E-10
Time 30: 1.9397010242223581E-10
Time 31: 2.0285300604211396E-10
Time 32: 1.963774213661963E-10
Time 33: 1.9874234732134992E-10
Time 34: 1.9517873156766905E-10
Time 35: 1.8287040529819502E-10
Time 36: 1.8911453964102245E-10
Time 37: 1.8733714595778475E-10
Time 38: 1.8815258346238403E-10
Time 39: 1.9258442119379622E-10
Time 40: 1.9282758444423721E-10
Time 41: 1.9447898858953668E-10
Time 42: 1.9865397760211792E-10
Time 43: 1.8634124841428392E-10
Time 44: 1.8824455695905063E-10
Time 45: 1.8910210334905652E-10
Time 46: 1.853132877565487E-10
Time 47: 1.9266714297207162E-10
Time 48: 1.9608641175452372E-10
Time 49: 1.8786994298742496E-10
Time 50: 1.8558030951092047E-10
Time 51: 1.8564161497322403E-10
Time 52: 1.7217855219853054E-10
Time 53: 1.792553875557967E-10
Time 54: 1.7685254539646775E-10
Time 55: 1.7645404937789247E-10
Time 56: 1.831695146186181E-10
Time 57: 1.792579577478923E-10
Time 58: 1.750641570080681E-10
Time 59: 1.8047831501727952E-10
Time 60: 1.8205099742777654E-10
Time 61: 1.7266930607668244E-10
Time 62: 1.777297207523898E-10
Time 63: 1.865224423990888E-10
Time 64: 1.7921088921431062E-10
Time 65: 1.8588443024252532E-10
Time 66: 1.9063153073611163E-10
Time 67: 1.9151092755920686E-10
Time 68: 1.888823304726777E-10
Time 69: 1.9590922968004132E-10
Time 70: 1.92620324032448E-10
Time 71: 1.990954218442817E-10
Time 72: 2.04088059907708E-10
Time 73: 1.9415949219813222E-10
Time 74: 2.0734581628151541E-10
Time 75: 2.056021036004191E-10
Time 76: 2.0213198993947106E-10
Time 77: 2.0109165211717329E-10
Time 78: 1.9350396260323806E-10
Time 79: 2.0344371040918141E-10
Time 80: 2.0040016299321528E-10
Time 81: 1.8433529680248165E-10
Time 82: 1.9176333095615088E-10
Time 83: 1.8230786642733462E-10
Time 84: 1.76623537034016E-10
Time 85: 1.7827507421419296E-10
Time 86: 1.7098476744548914E-10
Time 87: 1.7048805345673329E-10
Time 88: 1.7743594231231277E-10
Time 89: 1.753391432352452E-10
Time 90: 1.7619282801238317E-10
Time 91: 1.7967273915655465E-10
Time 92: 1.827089142209192E-10
Time 93: 1.8951791886325748E-10
Time 94: 1.9084684439294401E-10
Time 95: 1.8623867655158942E-10
Time 96: 1.9773055268330263E-10
Time 97: 1.903955527421115E-10
Time 98: 1.9760038144243836E-10
Time 99: 2.0038787031963284E-10
Time 100: 1.9673632756481765E-10
Time 101: 2.029932397502206E-10
Time 102: 2.063439753393714E-10
Time 103: 2.0096172823321911E-10
Time 104: 2.0321090207875435E-10
Time 105: 2.0003677978594847E-10
Time 106: 2.0453883105870966E-10
Time 107: 2.0593881444258065E-10
Time 108: 1.9486310754358415E-10
Time 109: 2.058016618844942E-10
Time 110: 1.926709121380119E-10
Time 111: 1.9135098679991948E-10
Time 112: 1.9730307477346517E-10
Time 113: 1.8212635664378576E-10
Time 114: 1.8062222602246622E-10
Time 115: 1.8649708213366322E-10
Time 116: 1.8163679135965836E-10
Time 117: 1.8476767242380927E-10
Time 118: 1.8622998358858412E-10
Time 119: 1.7723721680885489E-10
Time 120: 1.8641392539009945E-10
