-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Morning
Iteration: 1
Execution time: 24 msec
-------------------------------------
Time 1: 1.7982168241125927E-10
Time 2: 1.805291288652838E-10
Time 3: 1.8669581892583368E-10
Time 4: 1.7612570940126197E-10
Time 5: 1.7679283499647167E-10
Time 6: 1.8126070772343684E-10
Time 7: 1.756918824542558E-10
Time 8: 1.8149175705211074E-10
Time 9: 1.845914685076727E-10
Time 10: 1.8959231921223354E-10
Time 11: 1.8906702106391878E-10
Time 12: 1.8191571450721167E-10
Time 13: 1.7976517729500323E-10
Time 14: 1.8252967003606564E-10
Time 15: 1.8072066050169188E-10
Time 16: 1.8078537888767604E-10
Time 17: 1.7216689718780805E-10
Time 18: 1.712466552877975E-10
Time 19: 1.7875455507546462E-10
Time 20: 1.7110440944010055E-10
Time 21: 1.8000852902270006E-10
Time 22: 1.796219443116624E-10
Time 23: 1.8091955933173576E-10
Time 24: 1.8045243468058162E-10
Time 25: 1.8181591245018593E-10
Time 26: 1.8599936334732717E-10
Time 27: 1.7582152713295913E-10
Time 28: 1.761359765566341E-10
Time 29: 1.7869218454341175E-10
Time 30: 1.850678884799297E-10
Time 31: 1.8331458963451034E-10
Time 32: 1.8963982384970832E-10
Time 33: 1.856298229999115E-10
Time 34: 1.8459563471830882E-10
Time 35: 1.804648526204013E-10
Time 36: 1.8646684178693878E-10
Time 37: 1.9046886569895805E-10
Time 38: 1.8741054970463058E-10
Time 39: 1.8915216080358386E-10
Time 40: 1.930338390166442E-10
Time 41: 1.8109958666893084E-10
Time 42: 1.7575822185979086E-10
Time 43: 1.7847235781572162E-10
Time 44: 1.7886124359146347E-10
Time 45: 1.8439343225036228E-10
Time 46: 1.8120018831855954E-10
Time 47: 1.7898511854241764E-10
Time 48: 1.7971805213895734E-10
Time 49: 1.8436841319176602E-10
Time 50: 1.902175965399327E-10
Time 51: 1.8352699163568105E-10
Time 52: 1.889684496709666E-10
Time 53: 1.863719182406996E-10
Time 54: 1.8209296614251007E-10
Time 55: 1.868999198441413E-10
Time 56: 1.775524148423147E-10
Time 57: 1.8367937019399432E-10
Time 58: 1.8727126518087844E-10
Time 59: 1.8544440077781058E-10
Time 60: 1.7938664764081356E-10
Time 61: 1.7707040128310374E-10
Time 62: 1.8297719375596512E-10
Time 63: 1.8543280790332093E-10
Time 64: 1.9184814317947716E-10
Time 65: 1.812005809773163E-10
Time 66: 1.8020822296539144E-10
Time 67: 1.8101113147194502E-10
Time 68: 1.8494904533035407E-10
Time 69: 1.8332000035528366E-10
Time 70: 1.836971205334995E-10
Time 71: 1.826152422237644E-10
Time 72: 1.802594482683569E-10
Time 73: 1.8912378220196107E-10
Time 74: 1.8712702564224142E-10
Time 75: 1.885961504030523E-10
Time 76: 1.8290665034207184E-10
Time 77: 1.9085114269156018E-10
Time 78: 1.9237260561496247E-10
Time 79: 1.8913839982431417E-10
Time 80: 1.825382976855136E-10
Time 81: 1.850065651522292E-10
Time 82: 1.8492711747981794E-10
Time 83: 1.8878586394584693E-10
Time 84: 1.7897771447548358E-10
Time 85: 1.8254017077225156E-10
Time 86: 1.8369746073948187E-10
Time 87: 1.7856875102852656E-10
Time 88: 1.7970456013952439E-10
Time 89: 1.8139372660677945E-10
Time 90: 1.754252049850859E-10
Time 91: 1.8693523505484019E-10
Time 92: 1.826956473628576E-10
Time 93: 1.7858759279352176E-10
Time 94: 1.7363374497207672E-10
Time 95: 1.8908942363822935E-10
Time 96: 1.862431057149291E-10
Time 97: 1.8262278849109425E-10
Time 98: 1.871300289571022E-10
Time 99: 1.771989357113939E-10
Time 100: 1.8982541880669407E-10
Time 101: 1.8968232225816464E-10
Time 102: 1.7663087834518825E-10
Time 103: 1.8110666811015546E-10
Time 104: 1.879739953478404E-10
Time 105: 1.8346014669219877E-10
Time 106: 1.7953293628948412E-10
Time 107: 1.8668847441151598E-10
Time 108: 1.8322659081660483E-10
Time 109: 1.8813531311031501E-10
Time 110: 1.8978425452757047E-10
Time 111: 1.8771012957486618E-10
Time 112: 1.8581394508065163E-10
Time 113: 1.832004396491611E-10
Time 114: 1.7231336797752393E-10
Time 115: 1.8191256337749564E-10
Time 116: 1.8870619738086222E-10
Time 117: 1.7417961844787993E-10
Time 118: 1.7775178973591447E-10
Time 119: 1.7839198643791388E-10
Time 120: 1.8340688795769713E-10
