-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Evening
Iteration: 2
Look-ahead time: 15.0 sec
Execution time: -10887 msec
-------------------------------------
Time-interval 1: 10
Time-interval 2: 8
Time-interval 3: 5
Time-interval 4: 9
Time-interval 5: 5
Time-interval 6: 3
Time-interval 7: 4
Time-interval 8: 14
Time-interval 9: 10
Time-interval 10: 5
Time-interval 11: 5
Time-interval 12: 4
Time-interval 13: 4
Time-interval 14: 7
Time-interval 15: 10
Time-interval 16: 5
Time-interval 17: 6
Time-interval 18: 7
Time-interval 19: 10
Time-interval 20: 9
Time-interval 21: 8
Time-interval 22: 8
Time-interval 23: 10
Time-interval 24: 6
Time-interval 25: 11
Time-interval 26: 6
Time-interval 27: 6
Time-interval 28: 7
Time-interval 29: 4
Time-interval 30: 3
Time-interval 31: 10
Time-interval 32: 11
Time-interval 33: 13
Time-interval 34: 15
Time-interval 35: 11
Time-interval 36: 3
Time-interval 37: 7
Time-interval 38: 8
Time-interval 39: 6
Time-interval 40: 11
Time-interval 41: 8
Time-interval 42: 6
Time-interval 43: 6
Time-interval 44: 7
Time-interval 45: 5
Time-interval 46: 14
Time-interval 47: 9
Time-interval 48: 14
Time-interval 49: 12
Time-interval 50: 11
Time-interval 51: 10
Time-interval 52: 13
Time-interval 53: 8
Time-interval 54: 10
Time-interval 55: 12
Time-interval 56: 10
Time-interval 57: 6
Time-interval 58: 8
Time-interval 59: 5
Time-interval 60: 6
Time-interval 61: 7
Time-interval 62: 10
Time-interval 63: 4
Time-interval 64: 12
Time-interval 65: 13
Time-interval 66: 9
Time-interval 67: 8
Time-interval 68: 15
Time-interval 69: 9
Time-interval 70: 15
Time-interval 71: 7
Time-interval 72: 11
Time-interval 73: 6
Time-interval 74: 8
Time-interval 75: 6
Time-interval 76: 10
Time-interval 77: 12
Time-interval 78: 11
Time-interval 79: 9
Time-interval 80: 7
Time-interval 81: 12
Time-interval 82: 8
Time-interval 83: 11
Time-interval 84: 12
Time-interval 85: 11
Time-interval 86: 11
Time-interval 87: 9
Time-interval 88: 6
Time-interval 89: 8
Time-interval 90: 8
Time-interval 91: 9
Time-interval 92: 6
Time-interval 93: 9
Time-interval 94: 7
Time-interval 95: 17
Time-interval 96: 13
Time-interval 97: 14
Time-interval 98: 11
Time-interval 99: 11
Time-interval 100: 13
Time-interval 101: 12
Time-interval 102: 15
Time-interval 103: 9
Time-interval 104: 15
Time-interval 105: 12
Time-interval 106: 9
Time-interval 107: 9
Time-interval 108: 9
Time-interval 109: 13
Time-interval 110: 15
Time-interval 111: 17
Time-interval 112: 17
Time-interval 113: 14
Time-interval 114: 7
Time-interval 115: 14
Time-interval 116: 10
Time-interval 117: 12
Time-interval 118: 8
Time-interval 119: 13
Time-interval 120: 8
18118
