-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Evening
Iteration: 2
Execution time: 26 msec
-------------------------------------
Time 1: 2.6154165050561835E-10
Time 2: 2.5971715388805264E-10
Time 3: 2.656116505039766E-10
Time 4: 2.6970078131182074E-10
Time 5: 2.7399106269199284E-10
Time 6: 2.705966669887997E-10
Time 7: 2.731531011349239E-10
Time 8: 2.7364502098577463E-10
Time 9: 2.8373761179426585E-10
Time 10: 2.789271311938424E-10
Time 11: 2.8010466698450746E-10
Time 12: 2.7511134947206734E-10
Time 13: 2.826733349716023E-10
Time 14: 2.89156482822635E-10
Time 15: 2.8076256972663396E-10
Time 16: 2.853139340206749E-10
Time 17: 2.8433736368631706E-10
Time 18: 2.7670526239548496E-10
Time 19: 2.8120251112706133E-10
Time 20: 2.856431399828519E-10
Time 21: 2.7290732377154246E-10
Time 22: 2.7811511116074016E-10
Time 23: 2.8042102892839257E-10
Time 24: 2.765542387616865E-10
Time 25: 2.8903966525751215E-10
Time 26: 2.8645642730896757E-10
Time 27: 2.8283453028980806E-10
Time 28: 2.7241219792657886E-10
Time 29: 2.6845744334158757E-10
Time 30: 2.780068691377069E-10
Time 31: 2.72361570091329E-10
Time 32: 2.8010311270045823E-10
Time 33: 2.79435710731326E-10
Time 34: 2.8387596468912037E-10
Time 35: 2.799860731750548E-10
Time 36: 2.766925798541216E-10
Time 37: 2.8034295215828136E-10
Time 38: 2.823103237310589E-10
Time 39: 2.784421228441656E-10
Time 40: 2.755498374312886E-10
Time 41: 2.8696233203666864E-10
Time 42: 2.866568982579108E-10
Time 43: 2.871884631745E-10
Time 44: 2.8843631231806866E-10
Time 45: 2.940736252770837E-10
Time 46: 2.8938376492029573E-10
Time 47: 2.921173880069128E-10
Time 48: 2.773063300861297E-10
Time 49: 2.9410159105934467E-10
Time 50: 2.918676438907072E-10
Time 51: 2.7699339617765897E-10
Time 52: 2.918830333577851E-10
Time 53: 2.87877075967384E-10
Time 54: 2.8230971583779743E-10
Time 55: 2.869277113194052E-10
Time 56: 2.829497623693478E-10
Time 57: 2.7880043953567023E-10
Time 58: 2.7851753580059815E-10
Time 59: 2.7130939434730715E-10
Time 60: 2.7553634777743056E-10
Time 61: 2.7333309744905986E-10
Time 62: 2.8011666175278023E-10
Time 63: 2.8250780622977943E-10
Time 64: 2.8425373179025666E-10
Time 65: 2.911159685971212E-10
Time 66: 2.9053722817830606E-10
Time 67: 2.862519713369826E-10
Time 68: 2.833582317516599E-10
Time 69: 2.858932657878386E-10
Time 70: 2.9191555005280105E-10
Time 71: 2.839934892362097E-10
Time 72: 2.939169484627361E-10
Time 73: 2.7797354894805556E-10
Time 74: 2.9065283566426345E-10
Time 75: 2.9567038806180075E-10
Time 76: 2.9700751356212077E-10
Time 77: 2.940632528201463E-10
Time 78: 2.931957902698116E-10
Time 79: 2.783521321585709E-10
Time 80: 2.8961306907567217E-10
Time 81: 2.884276132616922E-10
Time 82: 2.7440141866449573E-10
Time 83: 2.840787262376768E-10
Time 84: 2.7757667326997647E-10
Time 85: 2.834041614051328E-10
Time 86: 2.7097662265113746E-10
Time 87: 2.754654323428082E-10
Time 88: 2.771379169997293E-10
Time 89: 2.847140807914791E-10
Time 90: 2.816600316716001E-10
Time 91: 2.8415633942294093E-10
Time 92: 2.760121932230958E-10
Time 93: 2.930534529483496E-10
Time 94: 2.8414426856004493E-10
Time 95: 2.833141250159887E-10
Time 96: 2.9217374809109394E-10
Time 97: 2.8290450923302455E-10
Time 98: 2.9027197802765887E-10
Time 99: 2.914695721730187E-10
Time 100: 2.934529548942554E-10
Time 101: 2.9314755268816676E-10
Time 102: 2.915464737311227E-10
Time 103: 2.868745873756403E-10
Time 104: 2.9099590479874715E-10
Time 105: 2.8690821515809175E-10
Time 106: 2.955436549061563E-10
Time 107: 2.7842467739838015E-10
Time 108: 2.844532570904036E-10
Time 109: 2.9050953624391127E-10
Time 110: 2.9190568114622435E-10
Time 111: 2.9690814382629396E-10
Time 112: 2.8975223635416594E-10
Time 113: 2.9032111486415605E-10
Time 114: 2.954025025451842E-10
Time 115: 3.048378652683924E-10
Time 116: 2.7895034421717446E-10
Time 117: 2.919904733577021E-10
Time 118: 2.9859515602246995E-10
Time 119: 2.9751738244840223E-10
Time 120: 2.9265484162397513E-10
