-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Lunch
Iteration: 1
Look-ahead time: 300.0 sec
Execution time: -15187 msec
-------------------------------------
Time-interval 1: 4
Time-interval 2: 6
Time-interval 3: 4
Time-interval 4: 8
Time-interval 5: 7
Time-interval 6: 6
Time-interval 7: 5
Time-interval 8: 5
Time-interval 9: 6
Time-interval 10: 7
Time-interval 11: 3
Time-interval 12: 1
Time-interval 13: 2
Time-interval 14: 1
Time-interval 15: 2
Time-interval 16: 2
Time-interval 17: 3
Time-interval 18: 5
Time-interval 19: 6
Time-interval 20: 6
Time-interval 21: 4
Time-interval 22: 4
Time-interval 23: 7
Time-interval 24: 4
Time-interval 25: 7
Time-interval 26: 5
Time-interval 27: 5
Time-interval 28: 5
Time-interval 29: 3
Time-interval 30: 8
Time-interval 31: 6
Time-interval 32: 5
Time-interval 33: 4
Time-interval 34: 8
Time-interval 35: 7
Time-interval 36: 7
Time-interval 37: 4
Time-interval 38: 7
Time-interval 39: 5
Time-interval 40: 4
Time-interval 41: 3
Time-interval 42: 6
Time-interval 43: 4
Time-interval 44: 6
Time-interval 45: 3
Time-interval 46: 3
Time-interval 47: 4
Time-interval 48: 5
Time-interval 49: 5
Time-interval 50: 8
Time-interval 51: 5
Time-interval 52: 3
Time-interval 53: 7
Time-interval 54: 4
Time-interval 55: 2
Time-interval 56: 6
Time-interval 57: 8
Time-interval 58: 8
Time-interval 59: 8
Time-interval 60: 3
Time-interval 61: 4
Time-interval 62: 7
Time-interval 63: 7
Time-interval 64: 6
Time-interval 65: 12
Time-interval 66: 11
Time-interval 67: 2
Time-interval 68: 7
Time-interval 69: 10
Time-interval 70: 10
Time-interval 71: 10
Time-interval 72: 8
Time-interval 73: 10
Time-interval 74: 5
Time-interval 75: 6
Time-interval 76: 9
Time-interval 77: 7
Time-interval 78: 3
Time-interval 79: 2
Time-interval 80: 8
Time-interval 81: 5
Time-interval 82: 5
Time-interval 83: 8
Time-interval 84: 5
Time-interval 85: 4
Time-interval 86: 10
Time-interval 87: 7
Time-interval 88: 12
Time-interval 89: 11
Time-interval 90: 3
Time-interval 91: 3
Time-interval 92: 7
Time-interval 93: 6
Time-interval 94: 3
Time-interval 95: 7
Time-interval 96: 6
Time-interval 97: 9
Time-interval 98: 7
Time-interval 99: 9
Time-interval 100: 5
Time-interval 101: 8
Time-interval 102: 12
Time-interval 103: 7
Time-interval 104: 7
Time-interval 105: 6
Time-interval 106: 8
Time-interval 107: 10
Time-interval 108: 17
Time-interval 109: 12
Time-interval 110: 3
Time-interval 111: 4
Time-interval 112: 5
Time-interval 113: 3
Time-interval 114: 6
Time-interval 115: 11
Time-interval 116: 13
Time-interval 117: 9
Time-interval 118: 8
Time-interval 119: 4
Time-interval 120: 10
