-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Lunch
Iteration: 2
Execution time: 25 msec
-------------------------------------
Time 1: 2.8652794538354353E-10
Time 2: 2.9091260622995905E-10
Time 3: 2.9053423648734573E-10
Time 4: 2.9086289523352367E-10
Time 5: 2.899446445370325E-10
Time 6: 2.97781866638068E-10
Time 7: 2.909768487230284E-10
Time 8: 2.774101912738371E-10
Time 9: 2.843692176747139E-10
Time 10: 2.6656109494201663E-10
Time 11: 2.8392120543034653E-10
Time 12: 2.7819050725277245E-10
Time 13: 2.8743789148676466E-10
Time 14: 2.8951391217162126E-10
Time 15: 2.853372452184521E-10
Time 16: 2.881715255205071E-10
Time 17: 2.8922057566552056E-10
Time 18: 2.8038451360505577E-10
Time 19: 2.8623988244092827E-10
Time 20: 2.8775065348941133E-10
Time 21: 2.8759532842421597E-10
Time 22: 2.807378534470806E-10
Time 23: 2.84737598513576E-10
Time 24: 2.7188562097288843E-10
Time 25: 2.87943812242962E-10
Time 26: 2.8435195919368E-10
Time 27: 2.965456307477908E-10
Time 28: 2.920390508185363E-10
Time 29: 2.9249766950682306E-10
Time 30: 2.877088606239273E-10
Time 31: 2.9516135259111846E-10
Time 32: 2.963833185932337E-10
Time 33: 2.981021838331068E-10
Time 34: 2.9876335716147946E-10
Time 35: 3.0439037053851253E-10
Time 36: 2.984106229359004E-10
Time 37: 3.0050951224088203E-10
Time 38: 2.983266686189531E-10
Time 39: 3.0377380832269753E-10
Time 40: 3.0355684642226287E-10
Time 41: 3.0329879270971125E-10
Time 42: 2.99939868123447E-10
Time 43: 2.971892143306104E-10
Time 44: 2.8235672234723977E-10
Time 45: 2.892317559734336E-10
Time 46: 2.825339858830556E-10
Time 47: 2.8157861377950794E-10
Time 48: 2.7100745142321376E-10
Time 49: 2.6861187650738715E-10
Time 50: 2.746506068514904E-10
Time 51: 2.825314882056496E-10
Time 52: 2.774071107695448E-10
Time 53: 2.8740268286416675E-10
Time 54: 2.7983844181499475E-10
Time 55: 2.8679455058296836E-10
Time 56: 2.990898726800081E-10
Time 57: 3.0325404052673085E-10
Time 58: 3.0836008988212914E-10
Time 59: 3.0298502530720063E-10
Time 60: 3.122070106275708E-10
Time 61: 3.0168733095987736E-10
Time 62: 3.077463594738783E-10
Time 63: 2.878954178227827E-10
Time 64: 2.830684937900368E-10
Time 65: 2.888094346463273E-10
Time 66: 2.854457038682379E-10
Time 67: 2.875900637171538E-10
Time 68: 2.8913775147534016E-10
Time 69: 2.6864179071306704E-10
Time 70: 2.8562260036172256E-10
Time 71: 2.8325298278300333E-10
Time 72: 2.739347202664776E-10
Time 73: 2.8006625218788423E-10
Time 74: 2.872062370627317E-10
Time 75: 2.883551231344264E-10
Time 76: 2.9547306311173616E-10
Time 77: 2.871828614452684E-10
Time 78: 2.8750560638520926E-10
Time 79: 3.010568322258063E-10
Time 80: 3.040163979777578E-10
Time 81: 2.965981300574435E-10
Time 82: 2.9607547337468153E-10
Time 83: 3.1081471666975505E-10
Time 84: 3.0354915066672783E-10
Time 85: 2.9968447464394995E-10
Time 86: 2.9699821538489083E-10
Time 87: 3.004868104949135E-10
Time 88: 2.9493773596476573E-10
Time 89: 2.953152499477008E-10
Time 90: 2.8724983251465076E-10
Time 91: 2.9793305790642687E-10
Time 92: 2.941618951009859E-10
Time 93: 2.962078190827973E-10
Time 94: 2.8501371200709613E-10
Time 95: 2.8836862214539814E-10
Time 96: 2.998906358180799E-10
Time 97: 2.9751458592145753E-10
Time 98: 2.7852354940542964E-10
Time 99: 3.000175337432716E-10
Time 100: 2.858691303865744E-10
Time 101: 2.983168497979529E-10
Time 102: 3.0251773832722477E-10
Time 103: 2.9894020612147766E-10
Time 104: 3.039282831129679E-10
Time 105: 3.05179101589222E-10
Time 106: 3.064282617518467E-10
Time 107: 3.0114422070756713E-10
Time 108: 2.923653550674239E-10
Time 109: 2.957041975215421E-10
Time 110: 2.893990565234799E-10
Time 111: 2.9974994288221816E-10
Time 112: 3.00751806606465E-10
Time 113: 2.9877214475935076E-10
Time 114: 3.044544481407969E-10
Time 115: 3.0357351107440105E-10
Time 116: 2.976153632638456E-10
Time 117: 2.955369576892847E-10
Time 118: 2.9849544277294915E-10
Time 119: 3.0040824293173175E-10
Time 120: 3.0161965677938156E-10
