-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Morning
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -13110 msec
-------------------------------------
Time-interval 1: 10
Time-interval 2: 4
Time-interval 3: 9
Time-interval 4: 9
Time-interval 5: 10
Time-interval 6: 12
Time-interval 7: 7
Time-interval 8: 7
Time-interval 9: 13
Time-interval 10: 14
Time-interval 11: 12
Time-interval 12: 7
Time-interval 13: 6
Time-interval 14: 15
Time-interval 15: 18
Time-interval 16: 7
Time-interval 17: 14
Time-interval 18: 7
Time-interval 19: 9
Time-interval 20: 7
Time-interval 21: 12
Time-interval 22: 14
Time-interval 23: 14
Time-interval 24: 9
Time-interval 25: 13
Time-interval 26: 9
Time-interval 27: 12
Time-interval 28: 8
Time-interval 29: 15
Time-interval 30: 16
Time-interval 31: 18
Time-interval 32: 11
Time-interval 33: 5
Time-interval 34: 17
Time-interval 35: 10
Time-interval 36: 15
Time-interval 37: 8
Time-interval 38: 11
Time-interval 39: 5
Time-interval 40: 7
Time-interval 41: 4
Time-interval 42: 14
Time-interval 43: 10
Time-interval 44: 10
Time-interval 45: 18
Time-interval 46: 12
Time-interval 47: 7
Time-interval 48: 12
Time-interval 49: 12
Time-interval 50: 10
Time-interval 51: 9
Time-interval 52: 14
Time-interval 53: 12
Time-interval 54: 11
Time-interval 55: 8
Time-interval 56: 15
Time-interval 57: 10
Time-interval 58: 6
Time-interval 59: 8
Time-interval 60: 7
Time-interval 61: 16
Time-interval 62: 6
Time-interval 63: 14
Time-interval 64: 12
Time-interval 65: 7
Time-interval 66: 12
Time-interval 67: 10
Time-interval 68: 10
Time-interval 69: 11
Time-interval 70: 9
Time-interval 71: 11
Time-interval 72: 15
Time-interval 73: 8
Time-interval 74: 13
Time-interval 75: 14
Time-interval 76: 9
Time-interval 77: 11
Time-interval 78: 16
Time-interval 79: 11
Time-interval 80: 11
Time-interval 81: 14
Time-interval 82: 9
Time-interval 83: 12
Time-interval 84: 13
Time-interval 85: 8
Time-interval 86: 7
Time-interval 87: 17
Time-interval 88: 14
Time-interval 89: 10
Time-interval 90: 14
Time-interval 91: 17
Time-interval 92: 11
Time-interval 93: 19
Time-interval 94: 10
Time-interval 95: 15
Time-interval 96: 11
Time-interval 97: 7
Time-interval 98: 5
Time-interval 99: 9
Time-interval 100: 16
Time-interval 101: 11
Time-interval 102: 6
Time-interval 103: 10
Time-interval 104: 11
Time-interval 105: 15
Time-interval 106: 8
Time-interval 107: 8
Time-interval 108: 19
Time-interval 109: 18
Time-interval 110: 12
Time-interval 111: 14
Time-interval 112: 9
Time-interval 113: 9
Time-interval 114: 6
Time-interval 115: 8
Time-interval 116: 14
Time-interval 117: 5
Time-interval 118: 8
Time-interval 119: 14
Time-interval 120: 11
