-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Morning
Iteration: 1
Execution time: 25 msec
-------------------------------------
Time 1: 2.735873045278799E-10
Time 2: 2.7366547566161597E-10
Time 3: 2.718877202719394E-10
Time 4: 2.6887271957672004E-10
Time 5: 2.6322914990550714E-10
Time 6: 2.748636607452027E-10
Time 7: 2.7316742172498604E-10
Time 8: 2.651774932804777E-10
Time 9: 2.760757767160557E-10
Time 10: 2.8144507518804563E-10
Time 11: 2.798014960845541E-10
Time 12: 2.799314149741694E-10
Time 13: 2.78738488061752E-10
Time 14: 2.72219413522969E-10
Time 15: 2.7800096801909227E-10
Time 16: 2.8225801110021705E-10
Time 17: 2.779927258925422E-10
Time 18: 2.7526225109827555E-10
Time 19: 2.7426523238960353E-10
Time 20: 2.6766319201931334E-10
Time 21: 2.7418178196297455E-10
Time 22: 2.606498698030259E-10
Time 23: 2.6928761514894553E-10
Time 24: 2.6875384648255875E-10
Time 25: 2.6894684206739936E-10
Time 26: 2.628850675571628E-10
Time 27: 2.679984415262924E-10
Time 28: 2.7497910476241844E-10
Time 29: 2.834453435408925E-10
Time 30: 2.8234364092651783E-10
Time 31: 2.8418496651465997E-10
Time 32: 2.846326178827524E-10
Time 33: 2.917901848514199E-10
Time 34: 2.881204270035866E-10
Time 35: 2.861297697297047E-10
Time 36: 2.778779018901376E-10
Time 37: 2.693001178759181E-10
Time 38: 2.845134521264839E-10
Time 39: 2.870933617024997E-10
Time 40: 2.8550470707162154E-10
Time 41: 2.799431553377998E-10
Time 42: 2.787035898766446E-10
Time 43: 2.7836152440125067E-10
Time 44: 2.775144596958708E-10
Time 45: 2.7638254547981407E-10
Time 46: 2.7862624409335956E-10
Time 47: 2.79173819151115E-10
Time 48: 2.681020518086132E-10
Time 49: 2.8551582767575177E-10
Time 50: 2.8200223193007357E-10
Time 51: 2.7500261524188405E-10
Time 52: 2.8074136290869104E-10
Time 53: 2.7866978915839907E-10
Time 54: 2.8315655694513226E-10
Time 55: 2.7483992198518695E-10
Time 56: 2.763886255648519E-10
Time 57: 2.9041253990393515E-10
Time 58: 2.822415104371935E-10
Time 59: 2.76924431612926E-10
Time 60: 2.791777713605241E-10
Time 61: 2.677922817737661E-10
Time 62: 2.7988388143115665E-10
Time 63: 2.800423874323309E-10
Time 64: 2.8273565791863367E-10
Time 65: 2.804358523355743E-10
Time 66: 2.843195104867258E-10
Time 67: 2.8796033142237204E-10
Time 68: 2.7313783258554724E-10
Time 69: 2.8776858650532E-10
Time 70: 2.890248717981937E-10
Time 71: 2.8823368739017666E-10
Time 72: 2.892899019764962E-10
Time 73: 2.888547885938036E-10
Time 74: 2.892420335883735E-10
Time 75: 2.8251945318610833E-10
Time 76: 2.864750930681396E-10
Time 77: 2.911982493042862E-10
Time 78: 2.907348883961647E-10
Time 79: 2.9314596445733745E-10
Time 80: 2.930488494552654E-10
Time 81: 2.900663961652006E-10
Time 82: 2.823103361536276E-10
Time 83: 2.8184982241814153E-10
Time 84: 2.8494771058747165E-10
Time 85: 2.8082741756869825E-10
Time 86: 2.807792337543654E-10
Time 87: 2.8845562655528593E-10
Time 88: 2.893648712267163E-10
Time 89: 2.901293148883902E-10
Time 90: 2.8194192778012266E-10
Time 91: 2.8957200842739185E-10
Time 92: 2.855255357441573E-10
Time 93: 2.7791865195226034E-10
Time 94: 2.9031068768920155E-10
Time 95: 2.878060702804711E-10
Time 96: 2.7984401181243897E-10
Time 97: 2.694761133567126E-10
Time 98: 2.801594055871887E-10
Time 99: 2.848974762660602E-10
Time 100: 2.811085742169355E-10
Time 101: 2.7101275906243634E-10
Time 102: 2.853642098954427E-10
Time 103: 2.91150064655447E-10
Time 104: 2.8495391304412725E-10
Time 105: 2.7057996466069533E-10
Time 106: 2.8068346524815257E-10
Time 107: 2.8604643843866875E-10
Time 108: 2.8057058587636287E-10
Time 109: 2.853038792842394E-10
Time 110: 2.8512398896892566E-10
Time 111: 2.8484190305405236E-10
Time 112: 2.7986533101013127E-10
Time 113: 2.8165050764555565E-10
Time 114: 2.7718874464763403E-10
Time 115: 2.820266010375403E-10
Time 116: 2.84158538368468E-10
Time 117: 2.8247934968255687E-10
Time 118: 2.780267034805816E-10
Time 119: 2.800636894038555E-10
Time 120: 2.8403782054684977E-10
