-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 1
Execution time: 40114 msec
-------------------------------------
Time-interval 1: 1
Time-interval 2: 3
Time-interval 3: 1
Time-interval 4: 4
Time-interval 5: 3
Time-interval 6: 4
Time-interval 7: 5
Time-interval 8: 3
Time-interval 9: 6
Time-interval 10: 3
Time-interval 11: 8
Time-interval 12: 1
Time-interval 13: 7
Time-interval 14: 7
Time-interval 15: 4
Time-interval 16: 5
Time-interval 17: 9
Time-interval 18: 4
Time-interval 19: 4
Time-interval 20: 1
Time-interval 21: 5
Time-interval 22: 3
Time-interval 23: 3
Time-interval 24: 6
Time-interval 25: 2
Time-interval 26: 1
Time-interval 27: 3
Time-interval 28: 1
Time-interval 29: 1
Time-interval 30: 3
Time-interval 31: 5
Time-interval 32: 5
Time-interval 33: 5
Time-interval 34: 5
Time-interval 35: 6
Time-interval 36: 6
Time-interval 37: 3
Time-interval 38: 8
Time-interval 39: 7
Time-interval 40: 3
Time-interval 41: 4
Time-interval 42: 3
Time-interval 43: 4
Time-interval 44: 4
Time-interval 45: 2
Time-interval 46: 6
Time-interval 47: 10
Time-interval 48: 6
Time-interval 49: 8
Time-interval 50: 7
Time-interval 51: 2
Time-interval 52: 4
Time-interval 53: 4
Time-interval 54: 5
Time-interval 55: 5
Time-interval 56: 4
Time-interval 57: 2
Time-interval 58: 6
Time-interval 59: 5
Time-interval 60: 2
Time-interval 61: 6
Time-interval 62: 4
Time-interval 63: 2
Time-interval 64: 2
Time-interval 65: 8
Time-interval 66: 4
Time-interval 67: 6
Time-interval 68: 4
Time-interval 69: 2
Time-interval 70: 5
Time-interval 71: 6
Time-interval 72: 11
Time-interval 73: 7
Time-interval 74: 4
Time-interval 75: 6
Time-interval 76: 7
Time-interval 77: 11
Time-interval 78: 7
Time-interval 79: 6
Time-interval 80: 5
Time-interval 81: 1
Time-interval 82: 5
Time-interval 83: 5
Time-interval 84: 5
Time-interval 85: 5
Time-interval 86: 2
Time-interval 87: 5
Time-interval 88: 3
Time-interval 89: 4
Time-interval 90: 6
Time-interval 91: 3
Time-interval 92: 9
Time-interval 93: 7
Time-interval 94: 3
Time-interval 95: 6
Time-interval 96: 5
Time-interval 97: 4
Time-interval 98: 5
Time-interval 99: 1
Time-interval 100: 4
Time-interval 101: 8
Time-interval 102: 1
Time-interval 103: 12
Time-interval 104: 9
Time-interval 105: 4
Time-interval 106: 4
Time-interval 107: 7
Time-interval 108: 3
Time-interval 109: 4
Time-interval 110: 9
Time-interval 111: 7
Time-interval 112: 7
Time-interval 113: 3
Time-interval 114: 2
Time-interval 115: 9
Time-interval 116: 7
Time-interval 117: 5
Time-interval 118: 8
Time-interval 119: 4
Time-interval 120: 11
