-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 1
Look-ahead time: 15.0 sec
Execution time: -34587 msec
-------------------------------------
Time-interval 1: 17
Time-interval 2: 12
Time-interval 3: 17
Time-interval 4: 9
Time-interval 5: 22
Time-interval 6: 11
Time-interval 7: 16
Time-interval 8: 14
Time-interval 9: 22
Time-interval 10: 18
Time-interval 11: 13
Time-interval 12: 9
Time-interval 13: 17
Time-interval 14: 22
Time-interval 15: 10
Time-interval 16: 13
Time-interval 17: 20
Time-interval 18: 14
Time-interval 19: 20
Time-interval 20: 12
Time-interval 21: 22
Time-interval 22: 13
Time-interval 23: 15
Time-interval 24: 19
Time-interval 25: 18
Time-interval 26: 13
Time-interval 27: 16
Time-interval 28: 15
Time-interval 29: 19
Time-interval 30: 21
Time-interval 31: 23
Time-interval 32: 27
Time-interval 33: 19
Time-interval 34: 14
Time-interval 35: 13
Time-interval 36: 18
Time-interval 37: 21
Time-interval 38: 16
Time-interval 39: 23
Time-interval 40: 21
Time-interval 41: 17
Time-interval 42: 11
Time-interval 43: 17
Time-interval 44: 12
Time-interval 45: 13
Time-interval 46: 13
Time-interval 47: 19
Time-interval 48: 18
Time-interval 49: 21
Time-interval 50: 18
Time-interval 51: 17
Time-interval 52: 14
Time-interval 53: 15
Time-interval 54: 26
Time-interval 55: 14
Time-interval 56: 11
Time-interval 57: 17
Time-interval 58: 21
Time-interval 59: 23
Time-interval 60: 18
Time-interval 61: 13
Time-interval 62: 21
Time-interval 63: 17
Time-interval 64: 19
Time-interval 65: 21
Time-interval 66: 18
Time-interval 67: 14
Time-interval 68: 17
Time-interval 69: 14
Time-interval 70: 27
Time-interval 71: 18
Time-interval 72: 23
Time-interval 73: 14
Time-interval 74: 15
Time-interval 75: 20
Time-interval 76: 24
Time-interval 77: 18
Time-interval 78: 14
Time-interval 79: 27
Time-interval 80: 19
Time-interval 81: 23
Time-interval 82: 18
Time-interval 83: 14
Time-interval 84: 22
Time-interval 85: 17
Time-interval 86: 19
Time-interval 87: 18
Time-interval 88: 22
Time-interval 89: 23
Time-interval 90: 18
Time-interval 91: 16
Time-interval 92: 17
Time-interval 93: 17
Time-interval 94: 22
Time-interval 95: 22
Time-interval 96: 19
Time-interval 97: 28
Time-interval 98: 15
Time-interval 99: 23
Time-interval 100: 23
Time-interval 101: 15
Time-interval 102: 15
Time-interval 103: 11
Time-interval 104: 19
Time-interval 105: 27
Time-interval 106: 20
Time-interval 107: 34
Time-interval 108: 26
Time-interval 109: 31
Time-interval 110: 21
Time-interval 111: 23
Time-interval 112: 20
Time-interval 113: 19
Time-interval 114: 14
Time-interval 115: 16
Time-interval 116: 21
Time-interval 117: 26
Time-interval 118: 28
Time-interval 119: 21
Time-interval 120: 7
