-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 2
Execution time: 43 msec
-------------------------------------
Time 1: 4.126091963080852E-10
Time 2: 4.105015211148062E-10
Time 3: 4.105968615785536E-10
Time 4: 4.118893937452338E-10
Time 5: 4.1334186861968355E-10
Time 6: 4.1087889243265324E-10
Time 7: 3.930248544519377E-10
Time 8: 3.9529875251745154E-10
Time 9: 4.03931637725225E-10
Time 10: 4.0065210686676314E-10
Time 11: 3.9835389943693374E-10
Time 12: 4.157374276013029E-10
Time 13: 3.9950715994195913E-10
Time 14: 4.0713163894926337E-10
Time 15: 4.0889560963178364E-10
Time 16: 4.137975341734838E-10
Time 17: 4.094747634396941E-10
Time 18: 4.0884862377717793E-10
Time 19: 4.031044797300357E-10
Time 20: 4.140046556747768E-10
Time 21: 4.0740001051309626E-10
Time 22: 4.2268472177640347E-10
Time 23: 4.1875831333524815E-10
Time 24: 4.2508371011935604E-10
Time 25: 4.2280204423126687E-10
Time 26: 4.1873480152791756E-10
Time 27: 4.1790962130346973E-10
Time 28: 4.1520399764703073E-10
Time 29: 4.096571422468588E-10
Time 30: 3.928489721245394E-10
Time 31: 4.155189381131816E-10
Time 32: 3.9918318707846296E-10
Time 33: 4.159956426300503E-10
Time 34: 4.029561208249304E-10
Time 35: 3.992295440192235E-10
Time 36: 4.148678141578178E-10
Time 37: 4.219198663378589E-10
Time 38: 4.0745107158939263E-10
Time 39: 4.0726673869450317E-10
Time 40: 4.145557134320775E-10
Time 41: 4.2096195000171285E-10
Time 42: 4.3237678852233916E-10
Time 43: 4.374864313748845E-10
Time 44: 4.3589295185819E-10
Time 45: 4.2897985002312337E-10
Time 46: 4.166450518575267E-10
Time 47: 4.3039925584384243E-10
Time 48: 4.2117471682604186E-10
Time 49: 4.16191237889096E-10
Time 50: 4.2457910292313243E-10
Time 51: 4.248325103952636E-10
Time 52: 4.1721939456306715E-10
Time 53: 4.2554404078839325E-10
Time 54: 4.2377384137113853E-10
Time 55: 4.3448359448683795E-10
Time 56: 4.256653353897901E-10
Time 57: 4.1425011074065733E-10
Time 58: 4.3199448482643553E-10
Time 59: 3.9938498957548695E-10
Time 60: 4.373381263653528E-10
Time 61: 4.088590834731569E-10
Time 62: 4.43004609500342E-10
Time 63: 3.993197776645631E-10
Time 64: 4.3806810257061165E-10
Time 65: 4.3544038496827954E-10
Time 66: 4.160000771719536E-10
Time 67: 4.206472331695646E-10
Time 68: 4.3956240850090953E-10
Time 69: 4.35906051707311E-10
Time 70: 4.2700909899273496E-10
Time 71: 4.397427122932839E-10
Time 72: 4.5074465917034623E-10
Time 73: 4.543707084489322E-10
Time 74: 4.360328651686865E-10
Time 75: 4.4800119812219896E-10
Time 76: 4.511977090330144E-10
Time 77: 4.361848270090684E-10
Time 78: 4.3393969817439105E-10
Time 79: 4.276022063230583E-10
Time 80: 4.135193554722176E-10
Time 81: 4.388479026363881E-10
Time 82: 4.4010043765094557E-10
Time 83: 4.426847407732269E-10
Time 84: 4.2796749603076246E-10
Time 85: 4.304019247607674E-10
Time 86: 4.2889498005961295E-10
Time 87: 4.4669252991830525E-10
Time 88: 4.5186543840940325E-10
Time 89: 4.273603496240014E-10
Time 90: 4.467165954811563E-10
Time 91: 4.622414502731659E-10
Time 92: 4.4774964235683917E-10
Time 93: 4.459358791780102E-10
Time 94: 4.45597757755773E-10
Time 95: 4.4135659869885106E-10
Time 96: 4.412730369543404E-10
Time 97: 4.528993920336064E-10
Time 98: 4.4996980473491685E-10
Time 99: 4.4485686136121764E-10
Time 100: 4.5330560796460216E-10
Time 101: 4.222633623993267E-10
Time 102: 4.3329553389613286E-10
Time 103: 4.399707514215385E-10
Time 104: 4.593488288712107E-10
Time 105: 4.6102083278025997E-10
Time 106: 4.5759140541472796E-10
Time 107: 4.5265598941073425E-10
Time 108: 4.4514123552400046E-10
Time 109: 4.581745759031598E-10
Time 110: 4.4374396488380004E-10
Time 111: 4.5565004601232986E-10
Time 112: 4.534229763760641E-10
Time 113: 4.346303770578155E-10
Time 114: 4.5279279940422317E-10
Time 115: 4.559243038396868E-10
Time 116: 4.590153093590494E-10
Time 117: 4.321736740723659E-10
Time 118: 4.612842338986744E-10
Time 119: 4.642726239123814E-10
Time 120: 4.4795381595172354E-10
