-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 2
Execution time: 38288 msec
-------------------------------------
Time-interval 1: 4
Time-interval 2: 3
Time-interval 3: 0
Time-interval 4: 2
Time-interval 5: 5
Time-interval 6: 5
Time-interval 7: 8
Time-interval 8: 4
Time-interval 9: 1
Time-interval 10: 5
Time-interval 11: 1
Time-interval 12: 2
Time-interval 13: 3
Time-interval 14: 3
Time-interval 15: 2
Time-interval 16: 2
Time-interval 17: 3
Time-interval 18: 2
Time-interval 19: 6
Time-interval 20: 5
Time-interval 21: 4
Time-interval 22: 7
Time-interval 23: 4
Time-interval 24: 4
Time-interval 25: 2
Time-interval 26: 5
Time-interval 27: 4
Time-interval 28: 6
Time-interval 29: 5
Time-interval 30: 4
Time-interval 31: 5
Time-interval 32: 5
Time-interval 33: 7
Time-interval 34: 6
Time-interval 35: 4
Time-interval 36: 7
Time-interval 37: 2
Time-interval 38: 7
Time-interval 39: 6
Time-interval 40: 5
Time-interval 41: 3
Time-interval 42: 5
Time-interval 43: 5
Time-interval 44: 6
Time-interval 45: 8
Time-interval 46: 3
Time-interval 47: 3
Time-interval 48: 8
Time-interval 49: 3
Time-interval 50: 4
Time-interval 51: 7
Time-interval 52: 7
Time-interval 53: 4
Time-interval 54: 8
Time-interval 55: 2
Time-interval 56: 3
Time-interval 57: 4
Time-interval 58: 3
Time-interval 59: 7
Time-interval 60: 4
Time-interval 61: 2
Time-interval 62: 5
Time-interval 63: 2
Time-interval 64: 2
Time-interval 65: 5
Time-interval 66: 7
Time-interval 67: 4
Time-interval 68: 7
Time-interval 69: 1
Time-interval 70: 8
Time-interval 71: 4
Time-interval 72: 2
Time-interval 73: 3
Time-interval 74: 7
Time-interval 75: 1
Time-interval 76: 2
Time-interval 77: 4
Time-interval 78: 7
Time-interval 79: 7
Time-interval 80: 3
Time-interval 81: 7
Time-interval 82: 8
Time-interval 83: 6
Time-interval 84: 2
Time-interval 85: 10
Time-interval 86: 3
Time-interval 87: 4
Time-interval 88: 1
Time-interval 89: 3
Time-interval 90: 2
Time-interval 91: 7
Time-interval 92: 3
Time-interval 93: 7
Time-interval 94: 4
Time-interval 95: 4
Time-interval 96: 9
Time-interval 97: 6
Time-interval 98: 3
Time-interval 99: 2
Time-interval 100: 2
Time-interval 101: 6
Time-interval 102: 3
Time-interval 103: 9
Time-interval 104: 7
Time-interval 105: 3
Time-interval 106: 5
Time-interval 107: 5
Time-interval 108: 3
Time-interval 109: 6
Time-interval 110: 8
Time-interval 111: 7
Time-interval 112: 5
Time-interval 113: 4
Time-interval 114: 10
Time-interval 115: 6
Time-interval 116: 7
Time-interval 117: 2
Time-interval 118: 5
Time-interval 119: 8
Time-interval 120: 16
