-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 1
Execution time: 40 msec
-------------------------------------
Time 1: 3.9640623265890703E-10
Time 2: 3.97229742971668E-10
Time 3: 3.8188789994031914E-10
Time 4: 3.874967269308181E-10
Time 5: 3.771676921704878E-10
Time 6: 3.7259847062851286E-10
Time 7: 3.8577405770950364E-10
Time 8: 3.6397172971909457E-10
Time 9: 3.840597873525086E-10
Time 10: 3.9575416356257475E-10
Time 11: 4.0362457405264773E-10
Time 12: 4.066607071400164E-10
Time 13: 4.03960142151564E-10
Time 14: 4.039320189369E-10
Time 15: 3.9419319116890283E-10
Time 16: 3.801954470297145E-10
Time 17: 3.914522885041905E-10
Time 18: 3.9100788844436204E-10
Time 19: 3.989211156886403E-10
Time 20: 3.771030097839635E-10
Time 21: 3.962459227678035E-10
Time 22: 3.8757971083952465E-10
Time 23: 3.949101880322296E-10
Time 24: 3.921865769491309E-10
Time 25: 4.002486182588364E-10
Time 26: 4.057699692998705E-10
Time 27: 4.049018195214944E-10
Time 28: 3.9588756920841333E-10
Time 29: 4.086310118271855E-10
Time 30: 4.0931608928911617E-10
Time 31: 4.159562081868428E-10
Time 32: 4.0720953860530075E-10
Time 33: 4.191313997060933E-10
Time 34: 4.233871280481279E-10
Time 35: 4.237680844076955E-10
Time 36: 4.1475637667441416E-10
Time 37: 4.0733362780044876E-10
Time 38: 4.0978394980325837E-10
Time 39: 4.069874642830225E-10
Time 40: 4.190227453704532E-10
Time 41: 4.21747296836621E-10
Time 42: 4.2235003181102057E-10
Time 43: 4.179229713901646E-10
Time 44: 4.0863725011651795E-10
Time 45: 4.17528903704335E-10
Time 46: 3.9022679056277753E-10
Time 47: 4.1644101806685384E-10
Time 48: 4.303440126520437E-10
Time 49: 4.153716098062535E-10
Time 50: 4.1775252364267247E-10
Time 51: 4.226139005258272E-10
Time 52: 4.205158728141414E-10
Time 53: 4.1581682694820534E-10
Time 54: 4.122094708825631E-10
Time 55: 4.08414038344654E-10
Time 56: 4.069921375067822E-10
Time 57: 4.116948319202028E-10
Time 58: 4.044772179977357E-10
Time 59: 4.1821006038028766E-10
Time 60: 3.934139154319265E-10
Time 61: 4.2376283458685116E-10
Time 62: 4.2126908057349613E-10
Time 63: 4.2067543377109134E-10
Time 64: 4.24758300860771E-10
Time 65: 4.1809751451868684E-10
Time 66: 4.1428595421426625E-10
Time 67: 4.191283092965256E-10
Time 68: 4.263093554201371E-10
Time 69: 4.2522217030275555E-10
Time 70: 4.2007302365313434E-10
Time 71: 4.3612693744281574E-10
Time 72: 4.089950241103169E-10
Time 73: 4.150036936824248E-10
Time 74: 4.226638402536664E-10
Time 75: 4.2905372948033205E-10
Time 76: 4.232265706394842E-10
Time 77: 4.3179887481370605E-10
Time 78: 4.253971541531667E-10
Time 79: 4.215692169234832E-10
Time 80: 4.3878822984203085E-10
Time 81: 4.4259881203317063E-10
Time 82: 4.319941015153482E-10
Time 83: 4.198066682993038E-10
Time 84: 4.2326297925543295E-10
Time 85: 4.3967831115900644E-10
Time 86: 4.3389275573291853E-10
Time 87: 4.4109256128393553E-10
Time 88: 4.392783127563559E-10
Time 89: 4.2601150333910125E-10
Time 90: 4.31803027259569E-10
Time 91: 4.324776255843568E-10
Time 92: 4.218329766063242E-10
Time 93: 4.244247082295877E-10
Time 94: 4.153200188401216E-10
Time 95: 4.2108911113061994E-10
Time 96: 4.329229537977675E-10
Time 97: 4.0765727481852947E-10
Time 98: 4.2256196043618074E-10
Time 99: 4.1785441260171873E-10
Time 100: 4.2808552151078523E-10
Time 101: 4.0037071840225395E-10
Time 102: 4.2806269635709333E-10
Time 103: 4.3325055056144636E-10
Time 104: 4.370035650898175E-10
Time 105: 4.2876775492552375E-10
Time 106: 4.275395876632163E-10
Time 107: 4.3487618514711026E-10
Time 108: 4.3179787987762423E-10
Time 109: 4.259665426180866E-10
Time 110: 4.2126282975337004E-10
Time 111: 4.330282020211646E-10
Time 112: 4.03799103028673E-10
Time 113: 4.2955214376984933E-10
Time 114: 4.3354657903064093E-10
Time 115: 4.4237472085056214E-10
Time 116: 4.4212976898784284E-10
Time 117: 4.452756435150344E-10
Time 118: 4.2484268207430056E-10
Time 119: 4.3290336274425755E-10
Time 120: 4.371651705899694E-10
