-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 2
Look-ahead time: 60.0 sec
Execution time: -30280 msec
-------------------------------------
Time-interval 1: 8
Time-interval 2: 6
Time-interval 3: 13
Time-interval 4: 10
Time-interval 5: 5
Time-interval 6: 4
Time-interval 7: 11
Time-interval 8: 13
Time-interval 9: 7
Time-interval 10: 7
Time-interval 11: 18
Time-interval 12: 14
Time-interval 13: 26
Time-interval 14: 11
Time-interval 15: 14
Time-interval 16: 13
Time-interval 17: 6
Time-interval 18: 15
Time-interval 19: 11
Time-interval 20: 13
Time-interval 21: 10
Time-interval 22: 7
Time-interval 23: 15
Time-interval 24: 11
Time-interval 25: 14
Time-interval 26: 13
Time-interval 27: 9
Time-interval 28: 6
Time-interval 29: 10
Time-interval 30: 12
Time-interval 31: 11
Time-interval 32: 5
Time-interval 33: 11
Time-interval 34: 15
Time-interval 35: 8
Time-interval 36: 10
Time-interval 37: 14
Time-interval 38: 12
Time-interval 39: 12
Time-interval 40: 14
Time-interval 41: 16
Time-interval 42: 14
Time-interval 43: 14
Time-interval 44: 16
Time-interval 45: 11
Time-interval 46: 16
Time-interval 47: 14
Time-interval 48: 16
Time-interval 49: 20
Time-interval 50: 15
Time-interval 51: 19
Time-interval 52: 13
Time-interval 53: 10
Time-interval 54: 16
Time-interval 55: 19
Time-interval 56: 12
Time-interval 57: 11
Time-interval 58: 18
Time-interval 59: 14
Time-interval 60: 15
Time-interval 61: 15
Time-interval 62: 22
Time-interval 63: 22
Time-interval 64: 16
Time-interval 65: 23
Time-interval 66: 16
Time-interval 67: 16
Time-interval 68: 11
Time-interval 69: 10
Time-interval 70: 17
Time-interval 71: 19
Time-interval 72: 14
Time-interval 73: 16
Time-interval 74: 18
Time-interval 75: 21
Time-interval 76: 10
Time-interval 77: 20
Time-interval 78: 19
Time-interval 79: 15
Time-interval 80: 15
Time-interval 81: 15
Time-interval 82: 16
Time-interval 83: 21
Time-interval 84: 14
Time-interval 85: 14
Time-interval 86: 17
Time-interval 87: 15
Time-interval 88: 24
Time-interval 89: 16
Time-interval 90: 16
Time-interval 91: 15
Time-interval 92: 14
Time-interval 93: 21
Time-interval 94: 15
Time-interval 95: 18
Time-interval 96: 21
Time-interval 97: 19
Time-interval 98: 27
Time-interval 99: 15
Time-interval 100: 15
Time-interval 101: 15
Time-interval 102: 21
Time-interval 103: 21
Time-interval 104: 15
Time-interval 105: 22
Time-interval 106: 24
Time-interval 107: 25
Time-interval 108: 16
Time-interval 109: 27
Time-interval 110: 26
Time-interval 111: 22
Time-interval 112: 22
Time-interval 113: 27
Time-interval 114: 16
Time-interval 115: 25
Time-interval 116: 25
Time-interval 117: 21
Time-interval 118: 21
Time-interval 119: 27
Time-interval 120: 31
