-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 2
Execution time: 43 msec
-------------------------------------
Time 1: 3.831822897856682E-10
Time 2: 4.0118265201918843E-10
Time 3: 3.9142385887929963E-10
Time 4: 3.8470357475902924E-10
Time 5: 3.765409195172982E-10
Time 6: 3.967588854167932E-10
Time 7: 3.915719307800844E-10
Time 8: 4.0090982205600755E-10
Time 9: 3.899316053268224E-10
Time 10: 3.871538674447357E-10
Time 11: 3.9745575036823835E-10
Time 12: 4.006198674637865E-10
Time 13: 3.7767079622041356E-10
Time 14: 3.9996291805761145E-10
Time 15: 3.9249957494237096E-10
Time 16: 4.085561013094508E-10
Time 17: 3.92509515696733E-10
Time 18: 4.054067109587284E-10
Time 19: 4.185850543365312E-10
Time 20: 4.139164299226647E-10
Time 21: 3.7765200978357517E-10
Time 22: 4.124423952090214E-10
Time 23: 4.1137737769427694E-10
Time 24: 4.085500733629834E-10
Time 25: 3.9334335408029656E-10
Time 26: 3.98164325673779E-10
Time 27: 4.0690520658383217E-10
Time 28: 3.953078873924107E-10
Time 29: 3.952353905047161E-10
Time 30: 3.893224382123662E-10
Time 31: 3.907694175199959E-10
Time 32: 3.9358498150378717E-10
Time 33: 3.830693217178379E-10
Time 34: 4.02903169853179E-10
Time 35: 3.9823760752590875E-10
Time 36: 3.901374588308414E-10
Time 37: 4.0451992040317323E-10
Time 38: 4.075419424181817E-10
Time 39: 3.9395075173088257E-10
Time 40: 3.945447240713021E-10
Time 41: 4.0229996985348064E-10
Time 42: 4.0110649429576104E-10
Time 43: 4.088783829529971E-10
Time 44: 4.078951309818206E-10
Time 45: 3.9247078945913544E-10
Time 46: 4.130495301910266E-10
Time 47: 4.082162205444384E-10
Time 48: 4.0782332615018815E-10
Time 49: 4.0477653913079217E-10
Time 50: 4.07675089005738E-10
Time 51: 4.086190388524902E-10
Time 52: 4.009661450684345E-10
Time 53: 4.0908373371114837E-10
Time 54: 4.0035317525164157E-10
Time 55: 4.056507411636352E-10
Time 56: 4.0475620634339685E-10
Time 57: 4.0902185592382203E-10
Time 58: 4.112213376209147E-10
Time 59: 4.0390025045936617E-10
Time 60: 4.047620666813133E-10
Time 61: 4.0661285270642654E-10
Time 62: 4.122806407820727E-10
Time 63: 4.096318797161112E-10
Time 64: 4.1405322813803867E-10
Time 65: 4.022870837813294E-10
Time 66: 4.18801020819465E-10
Time 67: 4.1267400678946814E-10
Time 68: 4.1691619473568074E-10
Time 69: 3.97638724488559E-10
Time 70: 4.266073366098156E-10
Time 71: 4.2913050226969246E-10
Time 72: 4.388206177151596E-10
Time 73: 4.304469641535554E-10
Time 74: 4.209670228649131E-10
Time 75: 4.3537629957922187E-10
Time 76: 4.3373664996008384E-10
Time 77: 4.310129774335946E-10
Time 78: 4.224454478129642E-10
Time 79: 4.301167554382841E-10
Time 80: 4.29979131013052E-10
Time 81: 4.240512510305312E-10
Time 82: 4.272935403601878E-10
Time 83: 4.265316274718537E-10
Time 84: 4.3011204470874804E-10
Time 85: 4.1370607647469315E-10
Time 86: 4.020535381089936E-10
Time 87: 4.249156844095839E-10
Time 88: 4.20052695484013E-10
Time 89: 4.167106488217995E-10
Time 90: 4.3100047546547124E-10
Time 91: 4.1016065948473405E-10
Time 92: 4.2839545806174137E-10
Time 93: 4.331440678795279E-10
Time 94: 4.4051660895032056E-10
Time 95: 4.2160500921815044E-10
Time 96: 4.226397717284139E-10
Time 97: 4.147678483276789E-10
Time 98: 4.175938142498904E-10
Time 99: 4.182115272044699E-10
Time 100: 4.318254507228028E-10
Time 101: 4.15784526165731E-10
Time 102: 4.179995035469639E-10
Time 103: 4.2128129382533285E-10
Time 104: 4.224890823291995E-10
Time 105: 4.13323939993507E-10
Time 106: 4.2579368623574855E-10
Time 107: 4.1259578692165243E-10
Time 108: 4.2413706285690056E-10
Time 109: 4.2380516973037794E-10
Time 110: 4.1623607446760794E-10
Time 111: 4.080521346200507E-10
Time 112: 4.3272918004904884E-10
Time 113: 4.24990762668442E-10
Time 114: 4.199531752322865E-10
Time 115: 4.3468679526927703E-10
Time 116: 4.053890293602083E-10
Time 117: 4.085945241820203E-10
Time 118: 4.248775374556938E-10
Time 119: 4.2361265583966963E-10
Time 120: 4.2833266862184153E-10
